steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
374,1,-25.000000000000085,374,-25.000000000000085,-25.000000000000085,0.0,0.0
777,2,-52.400000000000475,403,-27.40000000000012,-52.400000000000475,0.0,0.0
1110,3,-74.10000000000007,333,-21.70000000000004,-74.10000000000007,0.0,0.0
1423,4,-94.39999999999891,313,-20.30000000000002,-94.39999999999891,0.0,0.0
2182,5,-144.1999999999961,759,-49.80000000000044,-144.1999999999961,0.0,0.0
3104,6,-203.59999999999272,922,-59.400000000000574,-203.59999999999272,0.0,0.0
3609,7,-238.29999999999075,505,-34.70000000000022,-238.29999999999075,0.0,0.0
3829,8,-252.69999999998993,220,-14.399999999999965,-252.69999999998993,0.0,0.0
4301,9,-282.49999999999574,472,-29.800000000000153,-282.49999999999574,0.0,0.0
5302,10,-348.3000000000107,1001,-65.80000000000054,-348.3000000000107,0.0,0.0
6721,12,-442.000000000032,1001,-65.90000000000053,-442.000000000032,0.0,0.0
8723,14,-575.9000000000624,1001,-69.00000000000036,-575.9000000000624,0.0,0.0
10107,17,-668.3000000000834,341,-23.700000000000067,-668.3000000000834,0.0,0.0
11657,20,-772.4000000001071,651,-43.80000000000035,-772.4000000001071,0.0,0.0
15434,25,-994.3000000001637,1001,-66.10000000000052,-994.3000000001637,27.0,0.0
17845,30,-1156.7000000000496,283,-20.40000000000002,-1156.7000000000496,27.0,0.0
22535,40,-1469.0999999997655,616,-40.400000000000304,-1469.0999999997655,27.0,0.0
28505,50,-1866.2999999994042,390,-28.000000000000128,-1866.2999999994042,27.0,0.0
34241,60,-2250.299999999055,409,-27.300000000000118,-2250.299999999055,27.0,0.0
40723,70,-2674.2999999986696,484,-32.20000000000019,-2674.2999999986696,27.0,0.0
47413,80,-3120.099999998264,1001,-65.40000000000056,-3120.099999998264,27.0,0.0
53098,90,-3499.499999997919,270,-19.1,-3499.499999997919,27.0,0.0
59637,100,-3935.4999999975225,470,-32.20000000000019,-3935.4999999975225,27.0,0.0
71047,120,-4696.19999999956,313,-20.000000000000014,-4696.19999999956,27.0,0.0
82701,140,-5447.400000002354,236,-16.89999999999997,-5447.400000002354,44.0,0.0
98256,170,-6446.100000006129,1001,-64.7000000000006,-6446.100000006129,83.0,0.0
113187,200,-7400.500000009729,498,-34.00000000000021,-7400.500000009729,118.0,0.0
140616,250,-9218.700000016397,613,-39.60000000000029,-9218.700000016397,133.0,0.0
168191,300,-11062.500000023105,528,-33.70000000000021,-11062.500000023105,133.0,0.0
221282,400,-14564.300000035895,403,-26.200000000000102,-14564.300000035895,147.0,0.0
276284,500,-18179.90000001561,563,-38.80000000000028,-18179.90000001561,200.0,0.0
327395,600,-21537.199999965997,268,-17.299999999999976,-21537.199999965997,252.0,0.0
383403,700,-25256.999999911284,686,-48.300000000000416,-25256.999999911284,292.0,0.0
434980,800,-28695.49999986106,564,-37.700000000000266,-28695.49999986106,305.0,0.0
488896,900,-32204.399999808644,367,-24.00000000000007,-32204.399999808644,398.0,0.0
539200,1000,-35522.599999759615,283,-19.300000000000004,-35522.599999759615,449.0,0.0
