steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
66,1,65.0,66,65.0,65.0,65.0
159,2,157.0,93,92.0,157.0,92.0
217,3,214.0,58,57.0,214.0,92.0
351,4,347.0,134,133.0,347.0,133.0
432,5,427.0,81,80.0,427.0,133.0
500,6,494.0,68,67.0,494.0,133.0
567,7,560.0,67,66.0,560.0,133.0
631,8,623.0,64,63.0,623.0,133.0
692,9,683.0,61,60.0,683.0,133.0
758,10,748.0,66,65.0,748.0,133.0
894,12,882.0,59,58.0,882.0,133.0
996,14,982.0,56,55.0,982.0,133.0
1230,17,1213.0,57,56.0,1213.0,133.0
1464,20,1444.0,52,51.0,1444.0,133.0
1857,25,1832.0,59,58.0,1832.0,133.0
2212,30,2182.0,54,53.0,2182.0,133.0
2978,40,2938.0,70,69.0,2938.0,157.0
3585,50,3535.0,57,56.0,3535.0,157.0
4262,60,4202.0,74,73.0,4202.0,157.0
5104,70,5034.0,152,151.0,5034.0,157.0
6014,80,5934.0,66,65.0,5934.0,186.0
6885,90,6795.0,80,79.0,6795.0,186.0
7703,100,7603.0,50,49.0,7603.0,186.0
9303,120,9183.0,62,61.0,9183.0,186.0
11030,140,10890.0,64,63.0,10890.0,186.0
13689,170,13519.0,84,83.0,13519.0,186.0
16110,200,15910.0,104,103.0,15910.0,186.0
20119,250,19869.0,57,56.0,19869.0,186.0
24263,300,23963.0,66,65.0,23963.0,186.0
32204,400,31804.0,71,70.0,31804.0,209.0
39978,500,39478.0,93,92.0,39478.0,236.0
48040,600,47440.0,98,97.0,47440.0,236.0
56161,700,55461.0,72,71.0,55461.0,236.0
64531,800,63731.0,68,67.0,63731.0,282.0
72068,900,71168.0,49,48.0,71168.0,282.0
80151,1000,79151.0,89,88.0,79151.0,282.0
