steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.974672711795973,1,-0.974672711795973,2.0
2,2,-1.9020232285021539,1,-0.9273505167061807,4.0
3,3,-3.020974969912862,1,-1.1189517414107082,6.0
4,4,-3.9149794023196804,1,-0.8940044324068184,8.0
5,5,-2.8566090281816985,1,1.0583703741379817,8.0
6,6,-3.824642726357358,1,-0.9680336981756597,10.0
7,7,-4.691322250415219,1,-0.8666795240578602,12.0
8,8,-5.546297937952387,1,-0.8549756875371685,14.0
9,9,-6.515453097294454,1,-0.9691551593420672,16.0
10,10,-7.528678880786305,1,-1.0132257834918512,18.0
12,12,-9.612458500281917,1,-1.0894575466899976,22.0
14,14,-11.697928945207126,1,-0.9929029118362335,26.0
17,17,-12.390604352751884,1,-0.850958074098767,30.0
20,20,-15.327103143398945,1,-0.9236449860267636,36.0
25,25,-20.1486271003885,1,-1.0852159203980103,46.0
30,30,-24.984199270063268,1,-0.9642819148023657,56.0
40,40,-33.057849360843754,1,-0.9633309684486655,74.0
50,50,-39.30531147021013,1,-1.0381962399326203,90.0
60,60,-49.15434362941698,1,-1.1567259539703176,110.0
70,70,-55.18475506851955,1,1.021682857107023,126.0
80,80,-57.137652515629746,1,0.9274911659976215,138.0
90,90,-66.88891208794387,1,-0.9076760992000035,158.0
100,100,-74.67852193109408,1,1.0807242086507047,176.0
120,120,-90.36954054430386,1,-1.0444888185445,212.0
140,140,-106.5442897749237,1,-0.8861869618733242,248.0
170,170,-133.1248493085036,1,-0.8476515464596466,304.0
200,200,-159.42068148314308,1,-1.0202417489677345,360.0
250,250,-194.15732703987058,1,-1.0332505338950164,444.0
300,300,-232.6383597339643,1,-1.0411649410889832,532.0
400,400,-308.1675540984909,1,-0.8651675817613946,708.0
500,500,-386.6655296596444,1,-1.0373189030175434,888.0
600,600,-465.2247839789753,1,-0.9798832289037546,1066.0
700,700,-552.0535520953505,1,-0.9617272351745425,1252.0
800,800,-617.9923235944595,1,-1.1336317698119491,1416.0
900,900,-692.4420064783467,1,-1.0723945306168343,1590.0
1000,1000,-782.3092949890854,1,-1.0787659248170294,1780.0
1200,1200,-945.4424299357456,1,-1.0891269104271715,2144.0
1400,1400,-1101.4698870644484,1,-1.0572470263109506,2500.0
1700,1700,-1348.0173844904336,1,-1.1061134065951377,3046.0
2000,2000,-1594.1052109685938,1,-1.1060372798799354,3592.0
2500,2500,-1996.5119209467628,1,-1.014254653305998,4490.0
3000,3000,-2395.1482299104428,1,-0.9634204594446123,5388.0
4000,4000,-3153.5790777185325,1,-1.1689203543475877,7148.0
5000,5000,-3952.789431165464,1,-1.0272979909300504,8946.0
6000,6000,-4764.0514156829395,1,-1.1012850880887304,10758.0
7000,7000,-5556.901781888519,1,-0.9204593269398119,12550.0
8000,8000,-6371.634467188709,1,-1.0149464947817168,14366.0
9000,9000,-7164.15399882618,1,-0.924541233254702,16158.0
10000,10000,-7969.995282528063,1,-1.1146427205344374,17966.0
