steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,0.0,3,-1.0,3,6.0
21,7,-1.0,3,-1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,0.0,3,1.0,6,12.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-1.0,3,1.0,8,18.0
60,20,0.0,3,1.0,10,20.0
75,25,1.0,3,1.0,13,24.0
90,30,2.0,3,-1.0,16,28.0
120,40,0.0,3,1.0,20,40.0
150,50,2.0,3,1.0,26,48.0
180,60,6.0,3,1.0,33,54.0
210,70,10.0,3,1.0,40,60.0
240,80,6.0,3,1.0,43,74.0
270,90,10.0,3,1.0,50,80.0
300,100,14.0,3,1.0,57,86.0
360,120,10.0,3,1.0,65,110.0
420,140,12.0,3,1.0,76,128.0
510,170,12.0,3,1.0,91,158.0
600,200,12.0,3,1.0,106,188.0
750,250,20.0,3,1.0,135,230.0
900,300,12.0,3,1.0,156,288.0
1200,400,-4.0,3,-1.0,198,404.0
1500,500,-10.0,3,-1.0,245,510.0
1800,600,-10.0,3,1.0,295,610.0
2100,700,0.0,3,1.0,350,700.0
2400,800,16.0,3,1.0,408,784.0
2700,900,20.0,3,1.0,460,880.0
3000,1000,36.0,3,-1.0,518,964.0
3600,1200,10.0,3,1.0,605,1190.0
4200,1400,0.0,3,1.0,700,1400.0
5100,1700,-20.0,3,-1.0,840,1720.0
6000,2000,10.0,3,-1.0,1005,1990.0
7500,2500,-10.0,3,1.0,1245,2510.0
9000,3000,-28.0,3,-1.0,1486,3028.0
12000,4000,-20.0,3,1.0,1990,4020.0
15000,5000,-24.0,3,1.0,2488,5024.0
18000,6000,8.0,3,-1.0,3004,5992.0
21000,7000,30.0,3,-1.0,3515,6970.0
24000,8000,56.0,3,1.0,4028,7944.0
27000,9000,6.0,3,-1.0,4503,8994.0
30000,10000,-8.0,3,-1.0,4996,10008.0
