steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
350,1,-23.700000000000067,350,-23.700000000000067,-23.700000000000067,0.0,0.0
755,2,-51.000000000000455,405,-27.300000000000118,-51.000000000000455,0.0,0.0
1756,3,-115.89999999999769,1001,-64.90000000000059,-115.89999999999769,0.0,0.0
2757,4,-180.19999999999405,1001,-64.30000000000062,-180.19999999999405,0.0,0.0
3400,5,-223.99999999999156,643,-43.80000000000035,-223.99999999999156,0.0,0.0
3592,6,-236.99999999999082,192,-12.99999999999997,-236.99999999999082,0.0,0.0
3836,7,-253.0999999999899,244,-16.09999999999996,-253.0999999999899,0.0,0.0
4470,8,-294.1999999999984,634,-41.100000000000314,-294.1999999999984,0.0,0.0
5402,9,-354.60000000001213,932,-60.40000000000059,-354.60000000001213,0.0,0.0
6403,10,-421.0000000000272,1001,-66.4000000000005,-421.0000000000272,0.0,0.0
8078,12,-531.1000000000522,674,-44.20000000000036,-531.1000000000522,0.0,0.0
9606,14,-633.6000000000755,913,-59.90000000000058,-633.6000000000755,0.0,0.0
10415,17,-689.7000000000883,239,-16.599999999999966,-689.7000000000883,0.0,0.0
11552,20,-766.1000000001056,313,-21.90000000000004,-766.1000000001056,0.0,0.0
14457,25,-956.4000000001489,336,-22.000000000000043,-956.4000000001489,0.0,0.0
17008,30,-1127.7000000000698,243,-17.59999999999998,-1127.7000000000698,0.0,0.0
21632,40,-1436.6999999997888,310,-21.600000000000037,-1436.6999999997888,0.0,0.0
28786,50,-1911.1999999993573,1001,-67.80000000000042,-1911.1999999993573,0.0,0.0
33587,60,-2232.399999999065,484,-33.0000000000002,-2232.399999999065,0.0,0.0
39367,70,-2612.09999999872,322,-21.90000000000004,-2612.09999999872,0.0,0.0
44219,80,-2935.299999998426,211,-14.699999999999964,-2935.299999998426,0.0,0.0
50060,90,-3323.199999998073,762,-49.80000000000044,-3323.199999998073,0.0,0.0
56023,100,-3722.59999999771,359,-24.100000000000072,-3722.59999999771,0.0,0.0
67862,120,-4511.699999998882,1001,-67.30000000000045,-4511.699999998882,0.0,0.0
79085,140,-5250.7000000015705,926,-61.3000000000006,-5250.7000000015705,0.0,0.0
95476,170,-6345.100000005552,578,-40.3000000000003,-6345.100000005552,0.0,0.0
113243,200,-7522.100000009834,484,-32.800000000000196,-7522.100000009834,0.0,0.0
141147,250,-9386.400000016616,342,-22.50000000000005,-9386.400000016616,0.0,0.0
170530,300,-11352.200000023768,1001,-67.70000000000043,-11352.200000023768,0.0,0.0
226666,400,-15070.500000037295,548,-37.000000000000256,-15070.500000037295,0.0,0.0
281831,500,-18748.700000007662,523,-33.90000000000021,-18748.700000007662,0.0,0.0
332580,600,-22136.599999958362,343,-22.700000000000053,-22136.599999958362,0.0,0.0
386685,700,-25766.799999905536,723,-45.400000000000375,-25766.799999905536,0.0,0.0
438733,800,-29259.699999854707,253,-17.399999999999977,-29259.699999854707,0.0,0.0
492541,900,-32833.09999980258,719,-46.800000000000395,-32833.09999980258,9.0,0.0
542955,1000,-36211.99999975341,564,-36.200000000000244,-36211.99999975341,9.0,0.0
