steps,episode,total_return,episode_len,episode_return,total_regret
2,1,0.0,2,0.0,2.0
4,2,2.0,2,2.0,2.0
6,3,4.0,2,2.0,2.0
8,4,6.0,2,2.0,2.0
10,5,6.0,2,0.0,4.0
12,6,6.0,2,0.0,4.0
14,7,6.0,2,0.0,4.0
16,8,6.0,2,0.0,4.0
18,9,6.0,2,0.0,4.0
20,10,6.0,2,0.0,6.0
24,12,4.0,2,0.0,8.0
28,14,4.0,2,0.0,12.0
34,17,-2.0,2,-2.0,18.0
40,20,-4.0,2,-2.0,20.0
50,25,-12.0,2,-2.0,30.0
60,30,-14.0,2,-2.0,36.0
80,40,-14.0,2,-2.0,48.0
100,50,-12.0,2,2.0,60.0
120,60,-8.0,2,2.0,66.0
140,70,-8.0,2,0.0,74.0
160,80,2.0,2,2.0,80.0
180,90,4.0,2,0.0,92.0
200,100,0.0,2,0.0,106.0
240,120,-2.0,2,-2.0,128.0
280,140,-12.0,2,0.0,156.0
340,170,-4.0,2,2.0,184.0
400,200,-4.0,2,2.0,216.0
500,250,8.0,2,0.0,262.0
600,300,-4.0,2,0.0,322.0
800,400,2.0,2,0.0,428.0
1000,500,-2.0,2,0.0,508.0
1200,600,-12.0,2,-2.0,618.0
1400,700,-18.0,2,0.0,734.0
1600,800,-24.0,2,0.0,844.0
1800,900,-32.0,2,2.0,946.0
2000,1000,-26.0,2,-2.0,1036.0
2400,1200,-6.0,2,2.0,1222.0
2800,1400,-32.0,2,2.0,1440.0
3400,1700,-48.0,2,0.0,1722.0
4000,2000,-56.0,2,0.0,2030.0
5000,2500,-26.0,2,0.0,2530.0
6000,3000,-24.0,2,0.0,3024.0
8000,4000,28.0,2,0.0,4032.0
10000,5000,74.0,2,2.0,4978.0
12000,6000,6.0,2,2.0,6044.0
14000,7000,86.0,2,2.0,7026.0
16000,8000,78.0,2,0.0,8010.0
18000,9000,18.0,2,2.0,9056.0
20000,10000,-10.0,2,-2.0,10106.0
