steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
81,1,-1.0,81,-1.0,0,2.0
162,2,0.0,81,1.0,1,2.0
243,3,-1.0,81,-1.0,1,4.0
324,4,-2.0,81,-1.0,1,6.0
405,5,-1.0,81,1.0,2,6.0
486,6,-2.0,81,-1.0,2,8.0
567,7,-3.0,81,-1.0,2,10.0
648,8,-2.0,81,1.0,3,10.0
729,9,-3.0,81,-1.0,3,12.0
810,10,-2.0,81,1.0,4,12.0
972,12,-4.0,81,-1.0,4,16.0
1134,14,-2.0,81,1.0,6,16.0
1377,17,-5.0,81,-1.0,6,22.0
1620,20,-2.0,81,1.0,9,22.0
2025,25,-1.0,81,-1.0,12,26.0
2430,30,0.0,81,1.0,15,30.0
3240,40,-6.0,81,-1.0,17,46.0
4050,50,-6.0,81,1.0,22,56.0
4860,60,-8.0,81,1.0,26,68.0
5670,70,-4.0,81,1.0,33,74.0
6480,80,-2.0,81,-1.0,39,82.0
7290,90,0.0,81,1.0,45,90.0
8100,100,0.0,81,1.0,50,100.0
9720,120,6.0,81,-1.0,63,114.0
11340,140,4.0,81,-1.0,72,136.0
13770,170,-6.0,81,-1.0,82,176.0
16200,200,-14.0,81,1.0,93,214.0
20250,250,-10.0,81,-1.0,120,260.0
24300,300,-18.0,81,-1.0,141,318.0
32400,400,-38.0,81,-1.0,181,438.0
40500,500,-32.0,81,1.0,234,532.0
48600,600,-34.0,81,1.0,283,634.0
56700,700,-36.0,81,-1.0,332,736.0
64800,800,-32.0,81,-1.0,384,832.0
72900,900,-42.0,81,-1.0,429,942.0
81000,1000,-48.0,81,1.0,476,1048.0
97200,1200,-68.0,81,-1.0,566,1268.0
113400,1400,-80.0,81,-1.0,660,1480.0
137700,1700,-58.0,81,1.0,821,1758.0
162000,2000,-80.0,81,-1.0,960,2080.0
202500,2500,-108.0,81,1.0,1196,2608.0
243000,3000,-62.0,81,-1.0,1469,3062.0
324000,4000,-82.0,81,-1.0,1959,4082.0
405000,5000,-78.0,81,-1.0,2461,5078.0
486000,6000,-68.0,81,-1.0,2966,6068.0
567000,7000,-34.0,81,1.0,3483,7034.0
648000,8000,-4.0,81,1.0,3998,8004.0
729000,9000,-40.0,81,-1.0,4480,9040.0
810000,10000,-50.0,81,1.0,4975,10050.0
