steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
4,1,1.0,4,1.0,1,0.0
8,2,0.0,4,-1.0,1,2.0
12,3,1.0,4,1.0,2,2.0
16,4,2.0,4,1.0,3,2.0
20,5,1.0,4,-1.0,3,4.0
24,6,0.0,4,-1.0,3,6.0
28,7,-1.0,4,-1.0,3,8.0
32,8,0.0,4,1.0,4,8.0
36,9,-1.0,4,-1.0,4,10.0
40,10,0.0,4,1.0,5,10.0
48,12,0.0,4,-1.0,6,12.0
56,14,0.0,4,-1.0,7,14.0
68,17,-1.0,4,1.0,8,18.0
80,20,-2.0,4,-1.0,9,22.0
100,25,-1.0,4,-1.0,12,26.0
120,30,-2.0,4,1.0,14,32.0
160,40,-2.0,4,1.0,19,42.0
200,50,-2.0,4,-1.0,24,52.0
240,60,-2.0,4,-1.0,29,62.0
280,70,0.0,4,1.0,35,70.0
320,80,0.0,4,-1.0,40,80.0
360,90,-2.0,4,1.0,44,92.0
400,100,2.0,4,-1.0,51,98.0
480,120,2.0,4,1.0,61,118.0
560,140,6.0,4,-1.0,73,134.0
680,170,2.0,4,-1.0,86,168.0
800,200,0.0,4,-1.0,100,200.0
1000,250,-4.0,4,1.0,123,254.0
1200,300,-10.0,4,-1.0,145,310.0
1600,400,-20.0,4,1.0,190,420.0
2000,500,-14.0,4,-1.0,243,514.0
2400,600,-20.0,4,-1.0,290,620.0
2800,700,-24.0,4,1.0,338,724.0
3200,800,4.0,4,1.0,402,796.0
3600,900,2.0,4,1.0,451,898.0
4000,1000,2.0,4,1.0,501,998.0
4800,1200,-16.0,4,1.0,592,1216.0
5600,1400,-20.0,4,-1.0,690,1420.0
6800,1700,-46.0,4,1.0,827,1746.0
8000,2000,-36.0,4,-1.0,982,2036.0
10000,2500,-48.0,4,-1.0,1226,2548.0
12000,3000,-80.0,4,1.0,1460,3080.0
16000,4000,-104.0,4,1.0,1948,4104.0
20000,5000,-108.0,4,-1.0,2446,5108.0
24000,6000,-146.0,4,1.0,2927,6146.0
28000,7000,-120.0,4,-1.0,3440,7120.0
32000,8000,-82.0,4,-1.0,3959,8082.0
36000,9000,-56.0,4,-1.0,4472,9056.0
40000,10000,-80.0,4,1.0,4960,10080.0
