steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
362,1,-24.400000000000077,362,-24.400000000000077,-24.400000000000077,0.0,0.0
889,2,-59.60000000000058,527,-35.20000000000023,-59.60000000000058,0.0,0.0
1890,3,-124.99999999999717,1001,-65.40000000000056,-124.99999999999717,0.0,0.0
2213,4,-145.699999999996,323,-20.700000000000024,-145.699999999996,0.0,0.0
3214,5,-211.49999999999227,1001,-65.80000000000054,-211.49999999999227,0.0,0.0
3525,6,-231.9999999999911,311,-20.50000000000002,-231.9999999999911,0.0,0.0
3754,7,-248.19999999999018,229,-16.19999999999996,-248.19999999999018,0.0,0.0
4024,8,-265.999999999992,270,-17.799999999999983,-265.999999999992,0.0,0.0
5025,9,-331.1000000000068,1001,-65.10000000000058,-331.1000000000068,0.0,0.0
5472,10,-359.50000000001324,447,-28.400000000000134,-359.50000000001324,0.0,0.0
6658,12,-437.30000000003093,640,-43.200000000000344,-437.30000000003093,0.0,0.0
8527,14,-562.4000000000593,868,-59.00000000000057,-562.4000000000593,0.0,0.0
10205,17,-675.300000000085,340,-23.90000000000007,-675.300000000085,0.0,0.0
11301,20,-748.1000000001015,400,-26.600000000000108,-748.1000000001015,0.0,0.0
13496,25,-892.8000000001344,549,-36.00000000000024,-892.8000000001344,0.0,0.0
16600,30,-1099.2000000000958,1001,-66.30000000000051,-1099.2000000000958,0.0,0.0
20963,40,-1391.9999999998295,406,-27.900000000000126,-1391.9999999998295,0.0,0.0
26453,50,-1753.9999999995002,937,-62.60000000000062,-1753.9999999995002,0.0,0.0
31507,60,-2094.3999999991906,395,-25.500000000000092,-2094.3999999991906,0.0,0.0
36977,70,-2454.0999999988635,942,-60.40000000000059,-2454.0999999988635,0.0,0.0
43025,80,-2855.3999999984985,194,-14.799999999999963,-2855.3999999984985,0.0,0.0
48957,90,-3250.799999998139,433,-27.000000000000114,-3250.799999998139,0.0,0.0
54010,100,-3587.4999999978327,296,-19.300000000000004,-3587.4999999978327,0.0,0.0
66797,120,-4439.999999998621,803,-52.10000000000047,-4439.999999998621,0.0,0.0
77395,140,-5139.700000001167,483,-32.700000000000195,-5139.700000001167,0.0,0.0
91635,170,-6084.4000000046035,290,-18.599999999999994,-6084.4000000046035,0.0,0.0
107256,200,-7122.50000000838,467,-31.300000000000175,-7122.50000000838,0.0,0.0
135770,250,-9029.200000015317,848,-59.80000000000058,-9029.200000015317,0.0,0.0
158934,300,-10570.200000020923,438,-28.80000000000014,-10570.200000020923,0.0,0.0
212027,400,-14095.400000033747,330,-21.70000000000004,-14095.400000033747,0.0,0.0
271673,500,-18069.10000001755,744,-48.10000000000041,-18069.10000001755,0.0,0.0
321468,600,-21396.399999969133,572,-39.700000000000294,-21396.399999969133,0.0,0.0
377931,700,-25178.99999991409,725,-49.600000000000435,-25178.99999991409,0.0,0.0
428696,800,-28578.999999864613,623,-42.80000000000034,-28578.999999864613,0.0,0.0
486696,900,-32452.399999808247,1001,-68.50000000000038,-32452.399999808247,0.0,0.0
539626,1000,-35999.69999975663,203,-13.09999999999997,-35999.69999975663,0.0,0.0
