steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
40,1,-0.006250000000000004,40,-0.006250000000000004,1,0
80,2,-0.011500000000000008,40,-0.005250000000000003,2,0
120,3,-0.017250000000000012,40,-0.005750000000000003,3,0
160,4,-0.021250000000000015,40,-0.004000000000000002,4,0
200,5,-0.02600000000000002,40,-0.0047500000000000025,5,0
240,6,-0.030500000000000024,40,-0.004500000000000002,6,0
280,7,-0.034750000000000024,40,-0.004250000000000002,7,0
320,8,-0.03950000000000003,40,-0.0047500000000000025,8,0
360,9,-0.04525000000000003,40,-0.005750000000000003,9,0
400,10,-0.05000000000000004,40,-0.0047500000000000025,10,0
480,12,-0.059250000000000046,40,-0.004000000000000002,12,0
560,14,-0.07000000000000005,40,-0.005250000000000003,14,0
680,17,-0.08700000000000006,40,-0.005750000000000003,17,0
800,20,-0.10075000000000008,40,-0.004250000000000002,20,0
1000,25,-0.12700000000000009,40,-0.006000000000000004,25,0
1200,30,-0.1527500000000001,40,-0.004250000000000002,30,0
1600,40,-0.20275000000000015,40,-0.006500000000000004,40,0
2000,50,-0.25374999999999975,40,-0.005250000000000003,50,0
2400,60,-0.3034999999999943,40,-0.005250000000000003,60,0
2800,70,-0.3549999999999886,40,-0.005000000000000003,70,0
3200,80,-0.4049999999999831,40,-0.005250000000000003,80,0
3600,90,-0.4539999999999777,40,-0.006000000000000004,90,0
4000,100,-0.5027499999999724,40,-0.004250000000000002,100,0
4800,120,-0.6052499999999611,40,-0.004250000000000002,120,0
5600,140,-0.7069999999999499,40,-0.004250000000000002,140,0
6800,170,-0.8619999999999328,40,-0.004500000000000002,170,0
8000,200,-1.0157499999999229,40,-0.004500000000000002,200,0
10000,250,-1.2590000000000041,40,-0.005000000000000003,250,0
12000,300,-1.5060000000000866,40,-0.004500000000000002,300,0
16000,400,-2.0155000000002428,40,-0.004500000000000002,400,0
20000,500,-2.518499999999964,40,-0.005750000000000003,500,0
24000,600,-3.0142499999996892,40,-0.004500000000000002,600,0
28000,700,-3.5187499999994096,40,-0.005000000000000003,700,0
32000,800,-4.011249999999157,40,-0.005250000000000003,800,0
36000,900,-4.500499999999755,40,-0.006000000000000004,900,0
40000,1000,-4.982250000000343,40,-0.005000000000000003,1000,0
48000,1200,-5.98600000000157,40,-0.0047500000000000025,1200,0
56000,1400,-7.002250000002812,40,-0.0047500000000000025,1400,0
68000,1700,-8.490000000002889,40,-0.005500000000000003,1700,0
80000,2000,-10.000249999999369,40,-0.005000000000000003,2000,0
100000,2500,-12.491999999993562,40,-0.005000000000000003,2500,0
120000,3000,-15.008749999987696,40,-0.005250000000000003,3000,0
160000,4000,-19.99500000000446,40,-0.004250000000000002,4000,0
200000,5000,-25.011750000028414,40,-0.005500000000000003,5000,0
240000,6000,-29.965250000052066,40,-0.005250000000000003,6000,0
280000,7000,-34.977750000076,40,-0.005750000000000003,7000,0
320000,8000,-40.01700000010006,40,-0.005750000000000003,8000,0
360000,9000,-45.031250000124004,40,-0.006500000000000004,9000,0
400000,10000,-50.04675000014795,40,-0.005250000000000003,10000,0
