steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
69,1,68.0,69,68.0,68.0,68.0
179,2,177.0,110,109.0,177.0,109.0
243,3,240.0,64,63.0,240.0,109.0
315,4,311.0,72,71.0,311.0,109.0
382,5,377.0,67,66.0,377.0,109.0
448,6,442.0,66,65.0,442.0,109.0
516,7,509.0,68,67.0,509.0,109.0
606,8,598.0,90,89.0,598.0,109.0
689,9,680.0,83,82.0,680.0,109.0
752,10,742.0,63,62.0,742.0,109.0
884,12,872.0,71,70.0,872.0,109.0
1027,14,1013.0,78,77.0,1013.0,109.0
1242,17,1225.0,77,76.0,1225.0,109.0
1442,20,1422.0,45,44.0,1422.0,109.0
1913,25,1888.0,103,102.0,1888.0,138.0
2277,30,2247.0,68,67.0,2247.0,138.0
3034,40,2994.0,71,70.0,2994.0,138.0
3750,50,3700.0,101,100.0,3700.0,138.0
4606,60,4546.0,57,56.0,4546.0,138.0
5362,70,5292.0,71,70.0,5292.0,138.0
6222,80,6142.0,74,73.0,6142.0,138.0
6945,90,6855.0,51,50.0,6855.0,138.0
7860,100,7760.0,82,81.0,7760.0,160.0
9528,120,9408.0,58,57.0,9408.0,277.0
11032,140,10892.0,54,53.0,10892.0,277.0
13434,170,13264.0,63,62.0,13264.0,277.0
15818,200,15618.0,69,68.0,15618.0,277.0
19777,250,19527.0,72,71.0,19527.0,277.0
23583,300,23283.0,110,109.0,23283.0,277.0
31730,400,31330.0,114,113.0,31330.0,277.0
39751,500,39251.0,59,58.0,39251.0,277.0
47521,600,46921.0,62,61.0,46921.0,277.0
55737,700,55037.0,51,50.0,55037.0,277.0
63493,800,62693.0,81,80.0,62693.0,277.0
71533,900,70633.0,78,77.0,70633.0,294.0
79320,1000,78320.0,91,90.0,78320.0,294.0
