steps,episode,total_return,episode_len,episode_return
100,1,1.1,100,1.1
200,2,2.1,100,1.0
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.199999999999999,100,1.1
800,8,8.2,100,1.0
900,9,9.2,100,1.0
1000,10,10.2,100,1.0
1200,12,12.299999999999999,100,1.0
1400,14,14.399999999999999,100,1.0
1700,17,17.4,100,1.0
2000,20,20.5,100,1.0
2500,25,25.5,100,1.0
3000,30,30.5,100,1.0
4000,40,40.6,100,1.0
5000,50,50.800000000000004,100,1.0
6000,60,61.10000000000001,100,1.0
7000,70,71.3,100,1.0
8000,80,81.69999999999997,100,1.0
9000,90,91.69999999999997,100,1.0
10000,100,101.99999999999996,100,1.0
12000,120,121.99999999999996,100,1.0
14000,140,142.69999999999993,100,1.0
17000,170,173.3999999999999,100,1.0
20000,200,204.19999999999985,100,1.1
25000,250,255.29999999999978,100,1.0
30000,300,306.8000000000001,100,1.0
40000,400,408.9000000000006,100,1.0
50000,500,511.1000000000011,100,1.0
60000,600,612.6000000000014,100,1.0
70000,700,714.2000000000018,100,1.0
80000,800,816.4000000000023,100,1.0
90000,900,918.7000000000028,100,1.0
100000,1000,1020.8000000000033,100,1.0
