steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
71,1,-1.0,71,-1.0,0,2.0
142,2,0.0,71,1.0,1,2.0
213,3,1.0,71,1.0,2,2.0
284,4,0.0,71,-1.0,2,4.0
355,5,-1.0,71,-1.0,2,6.0
426,6,0.0,71,1.0,3,6.0
497,7,-1.0,71,-1.0,3,8.0
568,8,-2.0,71,-1.0,3,10.0
639,9,-3.0,71,-1.0,3,12.0
710,10,-4.0,71,-1.0,3,14.0
852,12,-4.0,71,1.0,4,16.0
994,14,-6.0,71,-1.0,4,20.0
1207,17,-7.0,71,-1.0,5,24.0
1420,20,-8.0,71,1.0,6,28.0
1775,25,-9.0,71,1.0,8,34.0
2130,30,-12.0,71,-1.0,9,42.0
2840,40,-6.0,71,1.0,17,46.0
3550,50,-8.0,71,1.0,21,58.0
4260,60,-8.0,71,-1.0,26,68.0
4970,70,-6.0,71,1.0,32,76.0
5680,80,-12.0,71,-1.0,34,92.0
6390,90,-14.0,71,-1.0,38,104.0
7100,100,-14.0,71,-1.0,43,114.0
8520,120,-16.0,71,-1.0,52,136.0
9940,140,-18.0,71,1.0,61,158.0
12070,170,-22.0,71,-1.0,74,192.0
14200,200,-30.0,71,-1.0,85,230.0
17750,250,-32.0,71,1.0,109,282.0
21300,300,-38.0,71,1.0,131,338.0
28400,400,-34.0,71,-1.0,183,434.0
35500,500,-20.0,71,-1.0,240,520.0
42600,600,-14.0,71,-1.0,293,614.0
49700,700,-32.0,71,1.0,334,732.0
56800,800,-32.0,71,-1.0,384,832.0
63900,900,-48.0,71,1.0,426,948.0
71000,1000,-44.0,71,1.0,478,1044.0
85200,1200,-48.0,71,1.0,576,1248.0
99400,1400,-94.0,71,1.0,653,1494.0
120700,1700,-100.0,71,-1.0,800,1800.0
142000,2000,-104.0,71,1.0,948,2104.0
177500,2500,-126.0,71,1.0,1187,2626.0
213000,3000,-164.0,71,1.0,1418,3164.0
284000,4000,-144.0,71,-1.0,1928,4144.0
355000,5000,-96.0,71,1.0,2452,5096.0
426000,6000,-90.0,71,1.0,2955,6090.0
497000,7000,-92.0,71,-1.0,3454,7092.0
568000,8000,-36.0,71,-1.0,3982,8036.0
639000,9000,-48.0,71,-1.0,4476,9048.0
710000,10000,-32.0,71,-1.0,4984,10032.0
