steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-978.8090572256275,1000,-978.8090572256275,-1000.0
2000,2,-1985.2530943915426,1000,-1006.4440371659169,-2000.0
3000,3,-2982.290818456053,1000,-997.0377240645104,-3000.0
4000,4,-3981.432673331147,1000,-999.1418548750961,-4000.0
5000,5,-4986.072577039434,1000,-1004.6399037082874,-5000.0
6000,6,-5989.453371925259,1000,-1003.3807948858318,-6000.0
7000,7,-6984.263941985254,1000,-994.8105700599908,-7000.0
8000,8,-7970.238164347164,1000,-985.9742223619107,-8000.0
9000,9,-8966.067666263398,1000,-995.8295019162385,-9000.0
10000,10,-9961.296526226812,1000,-995.2288599633929,-10000.0
12000,12,-11957.8037787816,1000,-999.2341847026124,-12000.0
14000,14,-13953.365739497747,1000,-1002.3360155807342,-14000.0
17000,17,-16942.733622384403,1000,-983.7373783894851,-17000.0
20000,20,-19951.115757713043,1000,-995.8692058540788,-20000.0
25000,25,-24964.571476356756,1000,-1001.5257604084693,-25000.0
30000,30,-29955.623110837685,1000,-984.8709895003527,-30000.0
40000,40,-39915.86229846253,1000,-1009.0835945871403,-40000.0
50000,50,-49881.28930070858,1000,-990.7951573907843,-50000.0
60000,60,-59858.3709075167,1000,-985.177389933925,-60000.0
70000,70,-69907.77513102569,1000,-998.942276888995,-70000.0
80000,80,-79911.29802936566,1000,-991.4760516541048,-80000.0
90000,90,-89959.68679105432,1000,-1005.732727279889,-90000.0
100000,100,-99941.60883674063,1000,-989.7557569689377,-100000.0
120000,120,-119949.74604288994,1000,-1022.2833763682972,-120000.0
140000,140,-139946.32116826336,1000,-1005.55219853827,-140000.0
170000,170,-169968.7524737768,1000,-999.9229950107028,-170000.0
200000,200,-199977.12702722027,1000,-999.8260530947383,-200000.0
250000,250,-249936.65916766514,1000,-1001.3855836791483,-250000.0
300000,300,-299838.09561796853,1000,-981.021706674164,-300000.0
400000,400,-399847.0805881925,1000,-1001.6152109056304,-400000.0
500000,500,-499846.4384567575,1000,-990.7395545728837,-500000.0
600000,600,-599923.766791762,1000,-1013.2321305446485,-600000.0
699946,700,-699746.9687988238,1000,-1002.0205006402982,-699946.0
799946,800,-799877.3682349881,1000,-995.3348300340527,-799946.0
899946,900,-899781.8464417208,1000,-989.775516136263,-899946.0
999946,1000,-999878.0448931069,1000,-997.3575197014057,-999946.0
