steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
51,1,-1.0,51,-1.0,0,2.0
102,2,-2.0,51,-1.0,0,4.0
153,3,-3.0,51,-1.0,0,6.0
204,4,-2.0,51,1.0,1,6.0
255,5,-3.0,51,-1.0,1,8.0
306,6,-2.0,51,1.0,2,8.0
357,7,-3.0,51,-1.0,2,10.0
408,8,-4.0,51,-1.0,2,12.0
459,9,-3.0,51,1.0,3,12.0
510,10,-2.0,51,1.0,4,12.0
612,12,-4.0,51,-1.0,4,16.0
714,14,-6.0,51,-1.0,4,20.0
867,17,-7.0,51,1.0,5,24.0
1020,20,-4.0,51,1.0,8,24.0
1275,25,1.0,51,1.0,13,24.0
1530,30,-2.0,51,-1.0,14,32.0
2040,40,2.0,51,1.0,21,38.0
2550,50,0.0,51,-1.0,25,50.0
3060,60,0.0,51,-1.0,30,60.0
3570,70,2.0,51,1.0,36,68.0
4080,80,4.0,51,1.0,42,76.0
4590,90,-2.0,51,1.0,44,92.0
5100,100,-2.0,51,-1.0,49,102.0
6120,120,0.0,51,1.0,60,120.0
7140,140,-2.0,51,1.0,69,142.0
8670,170,4.0,51,1.0,87,166.0
10200,200,4.0,51,1.0,102,196.0
12750,250,10.0,51,1.0,130,240.0
15300,300,8.0,51,1.0,154,292.0
20400,400,8.0,51,-1.0,204,392.0
25500,500,6.0,51,-1.0,253,494.0
30600,600,4.0,51,-1.0,302,596.0
35700,700,-6.0,51,-1.0,347,706.0
40800,800,-4.0,51,1.0,398,804.0
45900,900,12.0,51,1.0,456,888.0
51000,1000,32.0,51,1.0,516,968.0
61200,1200,54.0,51,-1.0,627,1146.0
71400,1400,52.0,51,1.0,726,1348.0
86700,1700,76.0,51,1.0,888,1624.0
102000,2000,76.0,51,-1.0,1038,1924.0
127500,2500,38.0,51,1.0,1269,2462.0
153000,3000,88.0,51,1.0,1544,2912.0
204000,4000,60.0,51,1.0,2030,3940.0
255000,5000,-2.0,51,-1.0,2499,5002.0
306000,6000,-50.0,51,-1.0,2975,6050.0
357000,7000,-66.0,51,1.0,3467,7066.0
408000,8000,-78.0,51,1.0,3961,8078.0
459000,9000,-102.0,51,-1.0,4449,9102.0
510000,10000,-138.0,51,1.0,4931,10138.0
