steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
71,1,70000.0,71,70000.0,70.0,70.0
138,2,136000.0,67,66000.0,136.0,70.0
240,3,237000.0,102,101000.0,237.0,101.0
328,4,324000.0,88,87000.0,324.0,101.0
406,5,401000.0,78,77000.0,401.0,101.0
479,6,473000.0,73,72000.0,473.0,101.0
529,7,522000.0,50,49000.0,522.0,101.0
634,8,626000.0,105,104000.0,626.0,104.0
714,9,705000.0,80,79000.0,705.0,104.0
789,10,779000.0,75,74000.0,779.0,104.0
999,12,987000.0,136,135000.0,987.0,135.0
1189,14,1175000.0,58,57000.0,1175.0,135.0
1485,17,1468000.0,67,66000.0,1468.0,135.0
1842,20,1822000.0,131,130000.0,1822.0,135.0
2286,25,2261000.0,58,57000.0,2261.0,142.0
2686,30,2656000.0,87,86000.0,2656.0,142.0
3350,40,3310000.0,52,51000.0,3310.0,142.0
4044,50,3994000.0,79,78000.0,3994.0,142.0
4954,60,4894000.0,120,119000.0,4894.0,167.0
5780,70,5710000.0,69,68000.0,5710.0,167.0
6525,80,6445000.0,97,96000.0,6445.0,167.0
7373,90,7283000.0,85,84000.0,7283.0,167.0
8330,100,8230000.0,195,194000.0,8230.0,194.0
10016,120,9896000.0,91,90000.0,9896.0,194.0
11573,140,11433000.0,114,113000.0,11433.0,194.0
14067,170,13897000.0,61,60000.0,13897.0,194.0
16734,200,16534000.0,122,121000.0,16534.0,194.0
20539,250,20289000.0,104,103000.0,20289.0,194.0
24319,300,24019000.0,115,114000.0,24019.0,194.0
32949,400,32549000.0,72,71000.0,32549.0,194.0
40882,500,40382000.0,85,84000.0,40382.0,194.0
49125,600,48525000.0,81,80000.0,48525.0,194.0
57093,700,56393000.0,43,42000.0,56393.0,259.0
64750,800,63950000.0,66,65000.0,63950.0,259.0
72168,900,71268000.0,97,96000.0,71268.0,259.0
80439,1000,79439000.0,58,57000.0,79439.0,259.0
