steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
375,1,-25.100000000000087,375,-25.100000000000087,-25.100000000000087,0.0,0.0
783,2,-52.90000000000048,408,-27.800000000000125,-52.90000000000048,0.0,0.0
1784,3,-117.29999999999761,1001,-64.40000000000062,-117.29999999999761,0.0,0.0
2785,4,-182.09999999999394,1001,-64.8000000000006,-182.09999999999394,0.0,0.0
3527,5,-232.0999999999911,742,-50.00000000000044,-232.0999999999911,0.0,0.0
3767,6,-249.19999999999013,240,-17.099999999999973,-249.19999999999013,0.0,0.0
4033,7,-266.4999999999921,266,-17.299999999999976,-266.4999999999921,0.0,0.0
4655,8,-306.70000000000124,622,-40.2000000000003,-306.70000000000124,0.0,0.0
5419,9,-356.10000000001247,764,-49.40000000000043,-356.10000000001247,0.0,0.0
5854,10,-385.10000000001907,435,-29.000000000000142,-385.10000000001907,0.0,0.0
7856,12,-516.5000000000489,1001,-65.90000000000053,-516.5000000000489,0.0,0.0
9165,14,-605.000000000069,308,-19.80000000000001,-605.000000000069,0.0,0.0
10431,17,-690.7000000000885,357,-25.000000000000085,-690.7000000000885,0.0,0.0
12625,20,-835.6000000001214,713,-47.3000000000004,-835.6000000001214,0.0,0.0
16074,25,-1063.700000000128,567,-37.30000000000026,-1063.700000000128,0.0,0.0
17921,30,-1189.3000000000138,252,-17.799999999999983,-1189.3000000000138,0.0,0.0
24203,40,-1603.9999999996367,427,-26.500000000000107,-1603.9999999996367,0.0,0.0
29838,50,-1982.4999999992924,336,-23.10000000000006,-1982.4999999992924,0.0,0.0
34666,60,-2304.7999999989993,450,-28.80000000000014,-2304.7999999989993,0.0,0.0
40274,70,-2671.199999998666,680,-43.70000000000035,-2671.199999998666,0.0,0.0
46074,80,-3058.399999998314,462,-31.500000000000178,-3058.399999998314,0.0,0.0
52947,90,-3515.499999997898,412,-26.400000000000105,-3515.499999997898,0.0,0.0
57105,100,-3793.0999999976457,450,-29.100000000000144,-3793.0999999976457,0.0,0.0
69226,120,-4601.399999999208,583,-38.10000000000027,-4601.399999999208,0.0,0.0
79290,140,-5264.100000001619,512,-34.50000000000022,-5264.100000001619,0.0,0.0
94031,170,-6246.500000005193,384,-25.000000000000085,-6246.500000005193,0.0,0.0
109580,200,-7280.4000000089545,414,-29.300000000000146,-7280.4000000089545,0.0,0.0
139790,250,-9298.100000016295,659,-43.00000000000034,-9298.100000016295,0.0,0.0
167602,300,-11157.50000002306,331,-21.10000000000003,-11157.50000002306,0.0,0.0
220534,400,-14661.100000035805,296,-18.099999999999987,-14661.100000035805,0.0,0.0
277217,500,-18442.100000012124,978,-65.70000000000054,-18442.100000012124,0.0,0.0
327185,600,-21775.89999996361,559,-35.90000000000024,-21775.89999996361,0.0,0.0
383561,700,-25559.199999908556,835,-58.100000000000556,-25559.199999908556,0.0,0.0
434705,800,-28982.49999985874,523,-35.600000000000236,-28982.49999985874,0.0,0.0
488614,900,-32584.19999980633,1001,-68.60000000000038,-32584.19999980633,0.0,0.0
540767,1000,-36074.19999975555,628,-42.10000000000033,-36074.19999975555,0.0,0.0
