steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,0.0,3,-1.0,3,6.0
21,7,-1.0,3,-1.0,3,8.0
24,8,0.0,3,1.0,4,8.0
27,9,-1.0,3,-1.0,4,10.0
30,10,-2.0,3,-1.0,4,12.0
36,12,-2.0,3,-1.0,5,14.0
42,14,-2.0,3,1.0,6,16.0
51,17,-3.0,3,-1.0,7,20.0
60,20,-2.0,3,-1.0,9,22.0
75,25,-3.0,3,-1.0,11,28.0
90,30,-4.0,3,1.0,13,34.0
120,40,-4.0,3,-1.0,18,44.0
150,50,-6.0,3,-1.0,22,56.0
180,60,-2.0,3,1.0,29,62.0
210,70,-6.0,3,-1.0,32,76.0
240,80,-6.0,3,-1.0,37,86.0
270,90,-8.0,3,-1.0,41,98.0
300,100,-10.0,3,1.0,45,110.0
360,120,-10.0,3,1.0,55,130.0
420,140,-6.0,3,1.0,67,146.0
510,170,-2.0,3,-1.0,84,172.0
600,200,-4.0,3,1.0,98,204.0
750,250,4.0,3,-1.0,127,246.0
900,300,-6.0,3,-1.0,147,306.0
1200,400,-6.0,3,1.0,197,406.0
1500,500,-16.0,3,-1.0,242,516.0
1800,600,-30.0,3,1.0,285,630.0
2100,700,-24.0,3,-1.0,338,724.0
2400,800,-22.0,3,1.0,389,822.0
2700,900,-16.0,3,1.0,442,916.0
3000,1000,-22.0,3,1.0,489,1022.0
3600,1200,-8.0,3,-1.0,596,1208.0
4200,1400,-8.0,3,1.0,696,1408.0
5100,1700,16.0,3,1.0,858,1684.0
6000,2000,20.0,3,-1.0,1010,1980.0
7500,2500,42.0,3,-1.0,1271,2458.0
9000,3000,28.0,3,1.0,1514,2972.0
12000,4000,32.0,3,-1.0,2016,3968.0
15000,5000,66.0,3,-1.0,2533,4934.0
18000,6000,96.0,3,1.0,3048,5904.0
21000,7000,130.0,3,1.0,3565,6870.0
24000,8000,144.0,3,-1.0,4072,7856.0
27000,9000,110.0,3,-1.0,4555,8890.0
30000,10000,94.0,3,-1.0,5047,9906.0
