steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.8,1,0.8,0.19999999999999996
2,2,1.6,1,0.8,0.3999999999999999
3,3,2.6,1,1.0,0.3999999999999999
4,4,3.4000000000000004,1,0.8,0.5999999999999999
5,5,4.0,1,0.6000000000000001,0.9999999999999998
6,6,4.6,1,0.6000000000000001,1.3999999999999997
7,7,5.6,1,1.0,1.3999999999999997
8,8,5.8,1,0.2,2.1999999999999997
9,9,5.8999999999999995,1,0.1,3.0999999999999996
10,10,5.999999999999999,1,0.1,3.9999999999999996
12,12,6.6,1,0.6000000000000001,5.4
14,14,7.4,1,0.4,6.6
17,17,9.8,1,0.6000000000000001,7.199999999999999
20,20,11.600000000000001,1,0.8,8.399999999999999
25,25,14.200000000000003,1,0.8,10.799999999999997
30,30,17.1,1,0.9,12.899999999999997
40,40,22.6,1,0.8,17.4
50,50,26.3,1,0.0,23.7
60,60,31.900000000000006,1,0.8,28.099999999999994
70,70,37.30000000000001,1,1.0,32.7
80,80,42.10000000000001,1,0.9,37.900000000000006
90,90,47.70000000000001,1,0.5,42.300000000000004
100,100,52.30000000000001,1,0.2,47.7
120,120,62.80000000000002,1,0.30000000000000004,57.199999999999996
140,140,71.30000000000004,1,0.0,68.69999999999997
170,170,87.80000000000003,1,1.0,82.19999999999999
200,200,101.90000000000005,1,0.1,98.09999999999997
250,250,125.10000000000008,1,0.30000000000000004,124.89999999999993
300,300,150.20000000000007,1,0.8,149.79999999999993
400,400,201.00000000000003,1,0.6000000000000001,198.99999999999997
500,500,253.29999999999998,1,0.8,246.70000000000002
600,600,303.5999999999999,1,0.7000000000000001,296.4000000000001
700,700,356.3,1,0.6000000000000001,343.7
800,800,406.7000000000001,1,0.5,393.2999999999999
900,900,457.8,1,0.1,442.2
1000,1000,509.8999999999998,1,0.1,490.1000000000002
1200,1200,606.6000000000007,1,0.9,593.3999999999995
1400,1400,698.5000000000015,1,0.2,701.4999999999987
1700,1700,846.4000000000012,1,0.2,853.599999999999
2000,2000,992.2,1,0.4,1007.8000000000002
2500,2500,1239.1000000000004,1,0.30000000000000004,1260.9
3000,3000,1485.6000000000001,1,1.0,1514.4000000000003
4000,4000,1989.3999999999996,1,0.1,2010.6000000000008
5000,5000,2486.400000000003,1,0.9,2513.599999999998
6000,6000,3002.6000000000076,1,0.7000000000000001,2997.3999999999933
7000,7000,3498.2000000000116,1,0.8,3501.7999999999893
8000,8000,4009.2000000000135,1,0.30000000000000004,3990.7999999999874
9000,9000,4506.000000000013,1,0.4,4493.999999999985
10000,10000,5024.199999999996,1,0.4,4975.800000000002
