steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-1.0,3,1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-1.0,3,1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-1.0,3,1.0,4,10.0
30,10,-2.0,3,-1.0,4,12.0
36,12,0.0,3,1.0,6,12.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-1.0,3,1.0,8,18.0
60,20,0.0,3,-1.0,10,20.0
75,25,-3.0,3,-1.0,11,28.0
90,30,2.0,3,1.0,16,28.0
120,40,2.0,3,-1.0,21,38.0
150,50,2.0,3,-1.0,26,48.0
180,60,-2.0,3,-1.0,29,62.0
210,70,0.0,3,1.0,35,70.0
240,80,2.0,3,1.0,41,78.0
270,90,4.0,3,1.0,47,86.0
300,100,0.0,3,-1.0,50,100.0
360,120,0.0,3,1.0,60,120.0
420,140,6.0,3,1.0,73,134.0
510,170,6.0,3,-1.0,88,164.0
600,200,6.0,3,1.0,103,194.0
750,250,-8.0,3,1.0,121,258.0
900,300,-8.0,3,-1.0,146,308.0
1200,400,-10.0,3,1.0,195,410.0
1500,500,-12.0,3,1.0,244,512.0
1800,600,-26.0,3,-1.0,287,626.0
2100,700,-18.0,3,-1.0,341,718.0
2400,800,-18.0,3,1.0,391,818.0
2700,900,-38.0,3,-1.0,431,938.0
3000,1000,-20.0,3,1.0,490,1020.0
3600,1200,-10.0,3,1.0,595,1210.0
4200,1400,-4.0,3,1.0,698,1404.0
5100,1700,34.0,3,1.0,867,1666.0
6000,2000,46.0,3,1.0,1023,1954.0
7500,2500,64.0,3,1.0,1282,2436.0
9000,3000,66.0,3,1.0,1533,2934.0
12000,4000,88.0,3,-1.0,2044,3912.0
15000,5000,78.0,3,1.0,2539,4922.0
18000,6000,50.0,3,-1.0,3025,5950.0
21000,7000,78.0,3,1.0,3539,6922.0
24000,8000,50.0,3,1.0,4025,7950.0
27000,9000,22.0,3,1.0,4511,8978.0
30000,10000,72.0,3,1.0,5036,9928.0
