steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
61,1,1.0,61,1.0,1,0.0
122,2,2.0,61,1.0,2,0.0
183,3,1.0,61,-1.0,2,2.0
244,4,0.0,61,-1.0,2,4.0
305,5,-1.0,61,-1.0,2,6.0
366,6,-2.0,61,-1.0,2,8.0
427,7,-3.0,61,-1.0,2,10.0
488,8,-4.0,61,-1.0,2,12.0
549,9,-3.0,61,1.0,3,12.0
610,10,-4.0,61,-1.0,3,14.0
732,12,-4.0,61,1.0,4,16.0
854,14,-6.0,61,-1.0,4,20.0
1037,17,-5.0,61,1.0,6,22.0
1220,20,-8.0,61,-1.0,6,28.0
1525,25,-9.0,61,1.0,8,34.0
1830,30,-8.0,61,-1.0,11,38.0
2440,40,-12.0,61,-1.0,14,52.0
3050,50,-10.0,61,1.0,20,60.0
3660,60,-10.0,61,-1.0,25,70.0
4270,70,-8.0,61,1.0,31,78.0
4880,80,-6.0,61,1.0,37,86.0
5490,90,-4.0,61,-1.0,43,94.0
6100,100,0.0,61,1.0,50,100.0
7320,120,0.0,61,-1.0,60,120.0
8540,140,-6.0,61,1.0,67,146.0
10370,170,2.0,61,-1.0,86,168.0
12200,200,6.0,61,1.0,103,194.0
15250,250,0.0,61,1.0,125,250.0
18300,300,6.0,61,-1.0,153,294.0
24400,400,14.0,61,1.0,207,386.0
30500,500,14.0,61,1.0,257,486.0
36600,600,4.0,61,1.0,302,596.0
42700,700,-16.0,61,1.0,342,716.0
48800,800,-30.0,61,-1.0,385,830.0
54900,900,-36.0,61,-1.0,432,936.0
61000,1000,-64.0,61,-1.0,468,1064.0
73200,1200,-52.0,61,-1.0,574,1252.0
85400,1400,-48.0,61,-1.0,676,1448.0
103700,1700,-50.0,61,-1.0,825,1750.0
122000,2000,-66.0,61,-1.0,967,2066.0
152500,2500,-70.0,61,1.0,1215,2570.0
183000,3000,-44.0,61,1.0,1478,3044.0
244000,4000,-22.0,61,1.0,1989,4022.0
305000,5000,-4.0,61,-1.0,2498,5004.0
366000,6000,50.0,61,-1.0,3025,5950.0
427000,7000,56.0,61,1.0,3528,6944.0
488000,8000,38.0,61,1.0,4019,7962.0
549000,9000,46.0,61,-1.0,4523,8954.0
610000,10000,20.0,61,-1.0,5010,9980.0
