steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-988.9929059717945,1000,-988.9929059717945,-1000.0
2000,2,-1967.8325007436872,1000,-978.8395947718901,-2000.0
3000,3,-2925.4814602347174,1000,-957.6489594910281,-3000.0
4000,4,-3933.2449746413085,1000,-1007.7635144065905,-4000.0
5000,5,-4923.633417844431,1000,-990.3884432031161,-5000.0
6000,6,-5950.122460637855,1000,-1026.4890427934165,-6000.0
7000,7,-6993.306678132643,1000,-1043.1842174947974,-7000.0
8000,8,-7990.024441743201,1000,-996.7177636105565,-8000.0
9000,9,-8987.024755515382,1000,-997.0003137721795,-9000.0
10000,10,-10004.148179281252,1000,-1017.1234237658514,-10000.0
12000,12,-12003.886684667434,1000,-972.7013782107817,-12000.0
14000,14,-13983.673355055707,1000,-966.5381742827204,-14000.0
17000,17,-16998.630744469807,1000,-1001.9797349558718,-17000.0
20000,20,-20034.972206533956,1000,-998.6430599684805,-20000.0
25000,25,-25152.282853420922,1000,-1024.210322228996,-25000.0
30000,30,-30203.26274553723,1000,-1077.0542069258265,-30000.0
40000,40,-40252.46359837405,1000,-1050.9390150317756,-40000.0
50000,50,-50286.991727536966,1000,-1011.9371022417772,-50000.0
60000,60,-60272.25255895396,1000,-1000.2487875347299,-60000.0
70000,70,-70137.40836571017,1000,-1031.5933044613341,-70000.0
80000,80,-80002.65856683113,1000,-1022.0912104631894,-80000.0
90000,90,-90055.1133540161,1000,-1030.2034365062461,-90000.0
100000,100,-100052.26352010481,1000,-1024.434052725078,-100000.0
120000,120,-120020.28537948018,1000,-977.2719880542322,-120000.0
140000,140,-140183.58330157975,1000,-1058.4389232267442,-140000.0
170000,170,-170207.50649648116,1000,-967.2087240443698,-170000.0
200000,200,-200127.572386906,1000,-1005.0212016930411,-200000.0
250000,250,-250162.58907183394,1000,-1004.8152943680517,-250000.0
300000,300,-300228.4118465702,1000,-1006.2383260421003,-300000.0
400000,400,-401065.3250181068,1000,-1062.151198366585,-400000.0
500000,500,-501680.51190026384,1000,-1007.1268304198165,-500000.0
600000,600,-602073.5797655856,1000,-1057.2829448086873,-600000.0
699946,700,-701857.5312301358,1000,-1032.0120249803228,-699946.0
799946,800,-801985.8824964912,1000,-985.3348878959936,-799946.0
899946,900,-902279.9303959641,1000,-1004.8133393137202,-899946.0
999946,1000,-1002299.0970829976,1000,-1008.814499564499,-999946.0
