steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,4.0,3,1.0,5,2.0
21,7,5.0,3,1.0,6,2.0
24,8,6.0,3,1.0,7,2.0
27,9,7.0,3,1.0,8,2.0
30,10,6.0,3,-1.0,8,4.0
36,12,6.0,3,1.0,9,6.0
42,14,8.0,3,1.0,11,6.0
51,17,11.0,3,1.0,14,6.0
60,20,10.0,3,1.0,15,10.0
75,25,11.0,3,1.0,18,14.0
90,30,8.0,3,-1.0,19,22.0
120,40,4.0,3,-1.0,22,36.0
150,50,4.0,3,1.0,27,46.0
180,60,4.0,3,-1.0,32,56.0
210,70,2.0,3,-1.0,36,68.0
240,80,4.0,3,1.0,42,76.0
270,90,8.0,3,1.0,49,82.0
300,100,6.0,3,-1.0,53,94.0
360,120,6.0,3,-1.0,63,114.0
420,140,8.0,3,1.0,74,132.0
510,170,-2.0,3,-1.0,84,172.0
600,200,-10.0,3,1.0,95,210.0
750,250,-20.0,3,1.0,115,270.0
900,300,-18.0,3,1.0,141,318.0
1200,400,-16.0,3,-1.0,192,416.0
1500,500,-22.0,3,1.0,239,522.0
1800,600,-30.0,3,-1.0,285,630.0
2100,700,-28.0,3,1.0,336,728.0
2400,800,-26.0,3,-1.0,387,826.0
2700,900,-24.0,3,-1.0,438,924.0
3000,1000,-8.0,3,-1.0,496,1008.0
3600,1200,-16.0,3,1.0,592,1216.0
4200,1400,-40.0,3,-1.0,680,1440.0
5100,1700,-60.0,3,1.0,820,1760.0
6000,2000,-94.0,3,1.0,953,2094.0
7500,2500,-70.0,3,-1.0,1215,2570.0
9000,3000,-54.0,3,-1.0,1473,3054.0
12000,4000,-36.0,3,1.0,1982,4036.0
15000,5000,-10.0,3,-1.0,2495,5010.0
18000,6000,-20.0,3,-1.0,2990,6020.0
21000,7000,-14.0,3,-1.0,3493,7014.0
24000,8000,48.0,3,1.0,4024,7952.0
27000,9000,38.0,3,-1.0,4519,8962.0
30000,10000,56.0,3,-1.0,5028,9944.0
