steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.2,1,0.2,0.8
2,2,0.4,1,0.2,1.6
3,3,1.1,1,0.7000000000000001,1.9
4,4,1.3,1,0.2,2.7
5,5,1.3,1,0.0,3.7
6,6,1.3,1,0.0,4.7
7,7,2.0,1,0.7000000000000001,5.0
8,8,3.0,1,1.0,5.0
9,9,3.9,1,0.9,5.1
10,10,4.8,1,0.9,5.199999999999999
12,12,5.6,1,0.0,6.3999999999999995
14,14,6.799999999999999,1,0.6000000000000001,7.199999999999999
17,17,7.399999999999999,1,0.0,9.6
20,20,8.799999999999997,1,0.2,11.200000000000001
25,25,11.199999999999996,1,0.2,13.800000000000002
30,30,12.399999999999997,1,0.30000000000000004,17.6
40,40,16.199999999999996,1,0.2,23.8
50,50,21.9,1,0.8,28.099999999999998
60,60,26.699999999999992,1,0.2,33.3
70,70,32.199999999999996,1,0.7000000000000001,37.8
80,80,36.699999999999996,1,0.30000000000000004,43.3
90,90,41.199999999999996,1,0.4,48.8
100,100,46.1,1,1.0,53.89999999999999
120,120,56.00000000000001,1,0.5,63.999999999999986
140,140,68.50000000000001,1,0.8,71.49999999999997
170,170,82.30000000000004,1,0.7000000000000001,87.69999999999995
200,200,96.8,1,0.9,103.19999999999999
250,250,122.49999999999997,1,0.5,127.50000000000001
300,300,146.19999999999996,1,0.2,153.8
400,400,197.00000000000006,1,0.0,202.99999999999991
500,500,247.30000000000004,1,0.2,252.69999999999993
600,600,301.79999999999995,1,0.1,298.20000000000005
700,700,349.7,1,0.0,350.3
800,800,400.2,1,0.4,399.8
900,900,446.99999999999994,1,0.9,453.00000000000006
1000,1000,498.40000000000003,1,0.9,501.59999999999997
1200,1200,599.3999999999994,1,0.30000000000000004,600.6000000000006
1400,1400,705.6999999999994,1,1.0,694.3000000000006
1700,1700,855.6999999999996,1,1.0,844.3000000000004
2000,2000,1004.9999999999994,1,0.6000000000000001,995.0000000000006
2500,2500,1249.1999999999991,1,0.5,1250.8000000000004
3000,3000,1500.699999999999,1,0.7000000000000001,1499.3000000000006
4000,4000,1999.200000000001,1,0.9,2000.7999999999986
5000,5000,2508.1000000000004,1,0.30000000000000004,2491.899999999999
6000,6000,2976.6000000000035,1,0.1,3023.399999999996
7000,7000,3476.400000000002,1,0.2,3523.5999999999976
8000,8000,3973.2999999999997,1,0.5,4026.7
9000,9000,4469.699999999996,1,0.6000000000000001,4530.299999999999
10000,10000,4960.8000000000075,1,0.6000000000000001,5039.199999999988
