steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
64,1,63000.0,64,63000.0,63.0,63.0
168,2,166000.0,104,103000.0,166.0,103.0
265,3,262000.0,97,96000.0,262.0,103.0
367,4,363000.0,102,101000.0,363.0,103.0
463,5,458000.0,96,95000.0,458.0,103.0
542,6,536000.0,79,78000.0,536.0,103.0
602,7,595000.0,60,59000.0,595.0,103.0
745,8,737000.0,143,142000.0,737.0,142.0
875,9,866000.0,130,129000.0,866.0,142.0
947,10,937000.0,72,71000.0,937.0,142.0
1108,12,1096000.0,80,79000.0,1096.0,142.0
1229,14,1215000.0,53,52000.0,1215.0,142.0
1478,17,1461000.0,67,66000.0,1461.0,142.0
1901,20,1881000.0,92,91000.0,1881.0,259.0
2286,25,2261000.0,81,80000.0,2261.0,259.0
2769,30,2739000.0,59,58000.0,2739.0,259.0
3490,40,3450000.0,54,53000.0,3450.0,259.0
4161,50,4111000.0,67,66000.0,4111.0,259.0
4951,60,4891000.0,74,73000.0,4891.0,259.0
5753,70,5683000.0,106,105000.0,5683.0,259.0
6585,80,6505000.0,58,57000.0,6505.0,259.0
7504,90,7414000.0,90,89000.0,7414.0,259.0
8297,100,8197000.0,85,84000.0,8197.0,259.0
9837,120,9717000.0,59,58000.0,9717.0,259.0
11323,140,11183000.0,65,64000.0,11183.0,259.0
13832,170,13662000.0,94,93000.0,13662.0,259.0
16223,200,16023000.0,85,84000.0,16023.0,259.0
20112,250,19862000.0,55,54000.0,19862.0,259.0
23903,300,23603000.0,100,99000.0,23603.0,259.0
32341,400,31941000.0,63,62000.0,31941.0,259.0
40197,500,39697000.0,63,62000.0,39697.0,259.0
48021,600,47421000.0,52,51000.0,47421.0,259.0
56030,700,55330000.0,98,97000.0,55330.0,259.0
64405,800,63605000.0,81,80000.0,63605.0,259.0
72404,900,71504000.0,65,64000.0,71504.0,259.0
80405,1000,79405000.0,100,99000.0,79405.0,259.0
