steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
64,1,63.0,64,63.0,63.0,63.0
167,2,165.0,103,102.0,165.0,102.0
247,3,244.0,80,79.0,244.0,102.0
299,4,295.0,52,51.0,295.0,102.0
359,5,354.0,60,59.0,354.0,102.0
459,6,453.0,100,99.0,453.0,102.0
564,7,557.0,105,104.0,557.0,104.0
648,8,640.0,84,83.0,640.0,104.0
709,9,700.0,61,60.0,700.0,104.0
774,10,764.0,65,64.0,764.0,104.0
881,12,869.0,55,54.0,869.0,104.0
1013,14,999.0,72,71.0,999.0,104.0
1274,17,1257.0,90,89.0,1257.0,104.0
1481,20,1461.0,68,67.0,1461.0,104.0
1864,25,1839.0,64,63.0,1839.0,118.0
2215,30,2185.0,58,57.0,2185.0,118.0
3123,40,3083.0,90,89.0,3083.0,201.0
3951,50,3901.0,80,79.0,3901.0,201.0
4852,60,4792.0,113,112.0,4792.0,201.0
5739,70,5669.0,88,87.0,5669.0,201.0
6674,80,6594.0,92,91.0,6594.0,201.0
7417,90,7327.0,79,78.0,7327.0,201.0
8315,100,8215.0,164,163.0,8215.0,201.0
9907,120,9787.0,79,78.0,9787.0,201.0
11579,140,11439.0,70,69.0,11439.0,201.0
14052,170,13882.0,58,57.0,13882.0,201.0
16247,200,16047.0,83,82.0,16047.0,201.0
20399,250,20149.0,46,45.0,20149.0,202.0
24333,300,24033.0,60,59.0,24033.0,250.0
32388,400,31988.0,63,62.0,31988.0,250.0
40595,500,40095.0,61,60.0,40095.0,250.0
48250,600,47650.0,48,47.0,47650.0,250.0
56531,700,55831.0,63,62.0,55831.0,250.0
64657,800,63857.0,73,72.0,63857.0,250.0
72713,900,71813.0,91,90.0,71813.0,250.0
80642,1000,79642.0,62,61.0,79642.0,250.0
