steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
59,1,58.0,59,58.0,58.0,58.0
144,2,142.0,85,84.0,142.0,84.0
290,3,287.0,146,145.0,287.0,145.0
385,4,381.0,95,94.0,381.0,145.0
492,5,487.0,107,106.0,487.0,145.0
603,6,597.0,111,110.0,597.0,145.0
694,7,687.0,91,90.0,687.0,145.0
744,8,736.0,50,49.0,736.0,145.0
829,9,820.0,85,84.0,820.0,145.0
880,10,870.0,51,50.0,870.0,145.0
1037,12,1025.0,89,88.0,1025.0,145.0
1195,14,1181.0,97,96.0,1181.0,145.0
1469,17,1452.0,101,100.0,1452.0,145.0
1760,20,1740.0,106,105.0,1740.0,145.0
2103,25,2078.0,72,71.0,2078.0,145.0
2475,30,2445.0,96,95.0,2445.0,145.0
3181,40,3141.0,68,67.0,3141.0,145.0
3905,50,3855.0,50,49.0,3855.0,145.0
4616,60,4556.0,85,84.0,4556.0,145.0
5374,70,5304.0,84,83.0,5304.0,145.0
6170,80,6090.0,45,44.0,6090.0,145.0
7056,90,6966.0,68,67.0,6966.0,145.0
7819,100,7719.0,143,142.0,7719.0,145.0
9391,120,9271.0,88,87.0,9271.0,149.0
10871,140,10731.0,44,43.0,10731.0,149.0
13265,170,13095.0,48,47.0,13095.0,218.0
15713,200,15513.0,72,71.0,15513.0,218.0
19717,250,19467.0,63,62.0,19467.0,218.0
23678,300,23378.0,112,111.0,23378.0,218.0
31403,400,31003.0,47,46.0,31003.0,218.0
39363,500,38863.0,91,90.0,38863.0,257.0
47379,600,46779.0,85,84.0,46779.0,307.0
55052,700,54352.0,95,94.0,54352.0,307.0
63040,800,62240.0,79,78.0,62240.0,307.0
70453,900,69553.0,56,55.0,69553.0,307.0
78471,1000,77471.0,55,54.0,77471.0,307.0
