steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
65,1,64.0,65,64.0,64.0,64.0
191,2,189.0,126,125.0,189.0,125.0
286,3,283.0,95,94.0,283.0,125.0
394,4,390.0,108,107.0,390.0,125.0
452,5,447.0,58,57.0,447.0,125.0
533,6,527.0,81,80.0,527.0,125.0
636,7,629.0,103,102.0,629.0,125.0
709,8,701.0,73,72.0,701.0,125.0
771,9,762.0,62,61.0,762.0,125.0
827,10,817.0,56,55.0,817.0,125.0
943,12,931.0,57,56.0,931.0,125.0
1138,14,1124.0,79,78.0,1124.0,125.0
1356,17,1339.0,96,95.0,1339.0,125.0
1552,20,1532.0,100,99.0,1532.0,125.0
1891,25,1866.0,74,73.0,1866.0,125.0
2334,30,2304.0,89,88.0,2304.0,127.0
3214,40,3174.0,73,72.0,3174.0,161.0
3872,50,3822.0,59,58.0,3822.0,161.0
4814,60,4754.0,59,58.0,4754.0,220.0
5499,70,5429.0,63,62.0,5429.0,220.0
6408,80,6328.0,73,72.0,6328.0,220.0
7077,90,6987.0,70,69.0,6987.0,220.0
7926,100,7826.0,81,80.0,7826.0,220.0
9669,120,9549.0,52,51.0,9549.0,220.0
11330,140,11190.0,65,64.0,11190.0,220.0
13854,170,13684.0,66,65.0,13684.0,220.0
15960,200,15760.0,62,61.0,15760.0,220.0
20015,250,19765.0,38,37.0,19765.0,220.0
23871,300,23571.0,72,71.0,23571.0,220.0
31549,400,31149.0,71,70.0,31149.0,220.0
39445,500,38945.0,54,53.0,38945.0,220.0
47457,600,46857.0,103,102.0,46857.0,220.0
55524,700,54824.0,87,86.0,54824.0,220.0
63523,800,62723.0,73,72.0,62723.0,220.0
71429,900,70529.0,66,65.0,70529.0,220.0
79312,1000,78312.0,73,72.0,78312.0,220.0
