steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
66,1,65.0,66,65.0,65.0,65.0
152,2,150.0,86,85.0,150.0,85.0
246,3,243.0,94,93.0,243.0,93.0
300,4,296.0,54,53.0,296.0,93.0
361,5,356.0,61,60.0,356.0,93.0
447,6,441.0,86,85.0,441.0,93.0
494,7,487.0,47,46.0,487.0,93.0
567,8,559.0,73,72.0,559.0,93.0
641,9,632.0,74,73.0,632.0,93.0
720,10,710.0,79,78.0,710.0,93.0
821,12,809.0,44,43.0,809.0,93.0
944,14,930.0,66,65.0,930.0,93.0
1172,17,1155.0,48,47.0,1155.0,93.0
1434,20,1414.0,145,144.0,1414.0,144.0
1811,25,1786.0,73,72.0,1786.0,144.0
2220,30,2190.0,87,86.0,2190.0,144.0
2919,40,2879.0,59,58.0,2879.0,144.0
3588,50,3538.0,46,45.0,3538.0,144.0
4342,60,4282.0,80,79.0,4282.0,144.0
5055,70,4985.0,66,65.0,4985.0,144.0
5856,80,5776.0,60,59.0,5776.0,172.0
6551,90,6461.0,65,64.0,6461.0,172.0
7421,100,7321.0,91,90.0,7321.0,174.0
9418,120,9298.0,66,65.0,9298.0,252.0
11325,140,11185.0,82,81.0,11185.0,252.0
13918,170,13748.0,72,71.0,13748.0,252.0
16284,200,16084.0,84,83.0,16084.0,252.0
20205,250,19955.0,60,59.0,19955.0,252.0
23981,300,23681.0,84,83.0,23681.0,252.0
31918,400,31518.0,77,76.0,31518.0,252.0
39998,500,39498.0,69,68.0,39498.0,252.0
48245,600,47645.0,54,53.0,47645.0,252.0
56274,700,55574.0,47,46.0,55574.0,252.0
64455,800,63655.0,57,56.0,63655.0,252.0
72188,900,71288.0,100,99.0,71288.0,252.0
80053,1000,79053.0,131,130.0,79053.0,252.0
