steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1171.6183589963307,1000,-1171.6183589963307,-1000.0
2000,2,-2199.9887443380258,1000,-1028.3703853416937,-2000.0
3000,3,-3314.8813157078825,1000,-1114.8925713698588,-3000.0
4000,4,-4456.898249763639,1000,-1142.0169340557609,-4000.0
5000,5,-5535.40362780487,1000,-1078.5053780412368,-5000.0
6000,6,-6517.522789475421,1000,-982.1191616705331,-6000.0
7000,7,-7685.497089896676,1000,-1167.9743004212537,-7000.0
8000,8,-8539.85587924086,1000,-854.3587893441899,-8000.0
9000,9,-9454.653203658754,1000,-914.7973244178894,-9000.0
10000,10,-10632.26985370204,1000,-1177.6166500432657,-10000.0
12000,12,-12391.334072242622,1000,-822.6846962200843,-12000.0
14000,14,-14654.686667357597,1000,-1177.3580064007558,-14000.0
17000,17,-17451.231748771428,1000,-944.6228787886993,-17000.0
20000,20,-20123.697288494634,1000,-741.5507337856005,-20000.0
25000,25,-25080.99906828889,1000,-973.2407651314832,-25000.0
30000,30,-29952.78254439503,1000,-1105.6986809201019,-30000.0
40000,40,-39944.85875044685,1000,-866.9764777245308,-40000.0
50000,50,-50098.359747037204,1000,-1018.8388380806666,-50000.0
60000,60,-60433.37471307297,1000,-950.7559567886484,-60000.0
70000,70,-70484.40126828286,1000,-1135.021677106259,-70000.0
80000,80,-80419.56337554465,1000,-879.1586381308348,-80000.0
90000,90,-90424.73625097255,1000,-934.6169845221333,-90000.0
100000,100,-100387.35828300724,1000,-1095.2953168655897,-100000.0
120000,120,-120181.19010103492,1000,-1133.1980299825968,-120000.0
140000,140,-140094.16783107902,1000,-979.140319825831,-140000.0
170000,170,-170424.74409997114,1000,-1075.9126775986051,-170000.0
200000,200,-200220.50055366792,1000,-1069.7972694887073,-200000.0
250000,250,-250677.41618965397,1000,-934.4985556821578,-250000.0
300000,300,-300907.3257837908,1000,-1021.2572837197735,-300000.0
400000,400,-400199.72664195247,1000,-955.2711627176142,-400000.0
500000,500,-498961.2924687843,1000,-1096.352024207918,-500000.0
600000,600,-599225.4995911487,1000,-1136.593652279625,-600000.0
700000,700,-699079.253757552,1000,-917.4531081329542,-700000.0
800000,800,-797328.679948858,1000,-996.4503085127644,-800000.0
900000,900,-896156.8054618598,1000,-975.517206316182,-900000.0
1000000,1000,-996127.5931443516,1000,-1008.2053266772524,-1000000.0
