steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
352,1,-23.90000000000007,352,-23.90000000000007,-23.90000000000007,0.0,0.0
790,2,-53.50000000000049,438,-29.60000000000015,-53.50000000000049,0.0,0.0
1595,3,-105.79999999999826,805,-52.30000000000047,-105.79999999999826,0.0,0.0
2351,4,-154.99999999999548,756,-49.20000000000043,-154.99999999999548,0.0,0.0
3266,5,-214.6999999999921,915,-59.70000000000058,-214.6999999999921,0.0,0.0
3530,6,-232.1999999999911,264,-17.49999999999998,-232.1999999999911,0.0,0.0
3747,7,-247.7999999999902,217,-15.59999999999996,-247.7999999999902,0.0,0.0
4047,8,-267.6999999999924,300,-19.900000000000013,-267.6999999999924,0.0,0.0
4816,9,-316.80000000000354,769,-49.10000000000043,-316.80000000000354,0.0,0.0
5552,10,-364.7000000000144,736,-47.90000000000041,-364.7000000000144,0.0,0.0
7554,12,-496.5000000000444,1001,-66.4000000000005,-496.5000000000444,0.0,0.0
8846,14,-584.6000000000644,291,-20.700000000000024,-584.6000000000644,0.0,0.0
10195,17,-674.7000000000849,370,-26.0000000000001,-674.7000000000849,0.0,0.0
11988,20,-794.300000000112,1001,-67.40000000000045,-794.300000000112,0.0,0.0
15434,25,-1021.3000000001637,1001,-66.10000000000052,-1021.3000000001637,0.0,0.0
17887,30,-1186.900000000016,304,-21.90000000000004,-1186.900000000016,0.0,0.0
22732,40,-1508.7999999997232,282,-18.9,-1508.7999999997232,0.0,0.0
28314,50,-1879.9999999993856,547,-37.700000000000266,-1879.9999999993856,0.0,0.0
33857,60,-2252.099999999047,1001,-69.30000000000034,-2252.099999999047,0.0,0.0
39895,70,-2646.7999999986882,806,-53.900000000000496,-2646.7999999986882,0.0,0.0
45414,80,-3014.199999998354,412,-26.600000000000108,-3014.199999998354,0.0,0.0
51244,90,-3403.599999998,686,-47.400000000000404,-3403.599999998,0.0,0.0
57493,100,-3818.099999997623,1001,-64.90000000000059,-3818.099999997623,0.0,0.0
69920,120,-4647.499999999376,477,-31.100000000000172,-4647.499999999376,0.0,0.0
79571,140,-5282.700000001687,257,-17.299999999999976,-5282.700000001687,0.0,0.0
93653,170,-6222.100000005104,240,-15.99999999999996,-6222.100000005104,0.0,0.0
111728,200,-7420.3000000094635,792,-51.90000000000047,-7420.3000000094635,0.0,0.0
139905,250,-9305.500000016322,308,-21.00000000000003,-9305.500000016322,0.0,0.0
169258,300,-11266.600000023456,441,-29.50000000000015,-11266.600000023456,0.0,0.0
223798,400,-14877.800000036594,657,-42.500000000000334,-14877.800000036594,0.0,0.0
278210,500,-18509.00000001115,423,-28.400000000000134,-18509.00000001115,0.0,0.0
329382,600,-21922.29999996148,243,-16.09999999999996,-21922.29999996148,0.0,0.0
381118,700,-25393.699999910965,284,-19.70000000000001,-25393.699999910965,0.0,0.0
433596,800,-28905.999999859854,458,-31.100000000000172,-28905.999999859854,0.0,0.0
488491,900,-32575.89999980645,360,-24.00000000000007,-32575.89999980645,0.0,0.0
535906,1000,-35753.09999976022,266,-17.799999999999983,-35753.09999976022,0.0,0.0
