steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-30000.0,1000,-30000.0,-1000.0
2000,2,-60000.0,1000,-30000.0,-2000.0
3000,3,-90000.0,1000,-30000.0,-3000.0
4000,4,-120000.0,1000,-30000.0,-4000.0
5000,5,-150000.0,1000,-30000.0,-5000.0
6000,6,-180000.0,1000,-30000.0,-6000.0
7000,7,-210000.0,1000,-30000.0,-7000.0
8000,8,-240000.0,1000,-30000.0,-8000.0
9000,9,-270000.0,1000,-30000.0,-9000.0
10000,10,-300000.0,1000,-30000.0,-10000.0
12000,12,-360000.0,1000,-30000.0,-12000.0
14000,14,-420000.0,1000,-30000.0,-14000.0
17000,17,-510000.0,1000,-30000.0,-17000.0
20000,20,-600000.0,1000,-30000.0,-20000.0
25000,25,-750000.0,1000,-30000.0,-25000.0
30000,30,-900000.0,1000,-30000.0,-30000.0
40000,40,-1200000.0,1000,-30000.0,-40000.0
50000,50,-1500000.0,1000,-30000.0,-50000.0
60000,60,-1800000.0,1000,-30000.0,-60000.0
70000,70,-2100000.0,1000,-30000.0,-70000.0
80000,80,-2400000.0,1000,-30000.0,-80000.0
90000,90,-2700000.0,1000,-30000.0,-90000.0
100000,100,-3000000.0,1000,-30000.0,-100000.0
120000,120,-3600000.0,1000,-30000.0,-120000.0
140000,140,-4200000.0,1000,-30000.0,-140000.0
170000,170,-5100000.0,1000,-30000.0,-170000.0
200000,200,-6000000.0,1000,-30000.0,-200000.0
250000,250,-7500000.0,1000,-30000.0,-250000.0
300000,300,-9000000.0,1000,-30000.0,-300000.0
400000,400,-12000000.0,1000,-30000.0,-400000.0
500000,500,-15000000.0,1000,-30000.0,-500000.0
600000,600,-18000000.0,1000,-30000.0,-600000.0
699946,700,-20998380.0,1000,-30000.0,-699946.0
799946,800,-23998380.0,1000,-30000.0,-799946.0
899946,900,-26998380.0,1000,-30000.0,-899946.0
999946,1000,-29998380.0,1000,-30000.0,-999946.0
