steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
56,1,1650.0,56,1650.0,55.0,55.0
120,2,3540.0,64,1890.0,118.0,63.0
244,3,7230.0,124,3690.0,241.0,123.0
311,4,9210.0,67,1980.0,307.0,123.0
365,5,10800.0,54,1590.0,360.0,123.0
451,6,13350.0,86,2550.0,445.0,123.0
546,7,16170.0,95,2820.0,539.0,123.0
600,8,17760.0,54,1590.0,592.0,123.0
696,9,20610.0,96,2850.0,687.0,123.0
754,10,22320.0,58,1710.0,744.0,123.0
1002,12,29700.0,132,3930.0,990.0,131.0
1127,14,33390.0,67,1980.0,1113.0,131.0
1343,17,39780.0,104,3090.0,1326.0,131.0
1519,20,44970.0,75,2220.0,1499.0,131.0
2000,25,59250.0,170,5070.0,1975.0,169.0
2418,30,71640.0,78,2310.0,2388.0,169.0
3212,40,95160.0,55,1620.0,3172.0,169.0
4154,50,123120.0,90,2670.0,4104.0,169.0
4985,60,147750.0,90,2670.0,4925.0,169.0
5704,70,169020.0,106,3150.0,5634.0,169.0
6583,80,195090.0,58,1710.0,6503.0,170.0
7410,90,219600.0,88,2610.0,7320.0,170.0
8225,100,243750.0,53,1560.0,8125.0,170.0
9919,120,293970.0,114,3390.0,9799.0,170.0
11659,140,345570.0,126,3750.0,11519.0,188.0
14128,170,418740.0,73,2160.0,13958.0,188.0
16704,200,495120.0,90,2670.0,16504.0,188.0
20555,250,609150.0,47,1380.0,20305.0,188.0
24285,300,719550.0,95,2820.0,23985.0,188.0
32552,400,964560.0,48,1410.0,32152.0,205.0
40841,500,1210230.0,68,2010.0,40341.0,205.0
48967,600,1451010.0,65,1920.0,48367.0,205.0
57062,700,1690860.0,77,2280.0,56362.0,205.0
65134,800,1930020.0,77,2280.0,64334.0,228.0
72660,900,2152800.0,68,2010.0,71760.0,228.0
80570,1000,2387100.0,110,3270.0,79570.0,228.0
