steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
67,1,66.0,67,66.0,66.0,66.0
149,2,147.0,82,81.0,147.0,81.0
226,3,223.0,77,76.0,223.0,81.0
308,4,304.0,82,81.0,304.0,81.0
407,5,402.0,99,98.0,402.0,98.0
502,6,496.0,95,94.0,496.0,98.0
582,7,575.0,80,79.0,575.0,98.0
674,8,666.0,92,91.0,666.0,98.0
754,9,745.0,80,79.0,745.0,98.0
824,10,814.0,70,69.0,814.0,98.0
948,12,936.0,63,62.0,936.0,98.0
1088,14,1074.0,50,49.0,1074.0,98.0
1347,17,1330.0,83,82.0,1330.0,98.0
1545,20,1525.0,101,100.0,1525.0,100.0
1948,25,1923.0,74,73.0,1923.0,113.0
2341,30,2311.0,60,59.0,2311.0,113.0
3191,40,3151.0,68,67.0,3151.0,192.0
3937,50,3887.0,57,56.0,3887.0,192.0
4608,60,4548.0,74,73.0,4548.0,192.0
5522,70,5452.0,64,63.0,5452.0,192.0
6288,80,6208.0,71,70.0,6208.0,192.0
7047,90,6957.0,106,105.0,6957.0,192.0
7965,100,7865.0,95,94.0,7865.0,192.0
9376,120,9256.0,55,54.0,9256.0,192.0
11061,140,10921.0,185,184.0,10921.0,192.0
13422,170,13252.0,73,72.0,13252.0,192.0
15939,200,15739.0,111,110.0,15739.0,192.0
19860,250,19610.0,76,75.0,19610.0,192.0
23604,300,23304.0,76,75.0,23304.0,192.0
31668,400,31268.0,95,94.0,31268.0,192.0
39854,500,39354.0,78,77.0,39354.0,192.0
47651,600,47051.0,48,47.0,47051.0,192.0
55821,700,55121.0,46,45.0,55121.0,192.0
63606,800,62806.0,132,131.0,62806.0,192.0
71233,900,70333.0,65,64.0,70333.0,192.0
78971,1000,77971.0,92,91.0,77971.0,192.0
