steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
5,1,1.0,5,1.0,1,0.0
10,2,2.0,5,1.0,2,0.0
15,3,1.0,5,-1.0,2,2.0
20,4,2.0,5,1.0,3,2.0
25,5,1.0,5,-1.0,3,4.0
30,6,0.0,5,-1.0,3,6.0
35,7,1.0,5,1.0,4,6.0
40,8,2.0,5,1.0,5,6.0
45,9,3.0,5,1.0,6,6.0
50,10,4.0,5,1.0,7,6.0
60,12,4.0,5,1.0,8,8.0
70,14,6.0,5,1.0,10,8.0
85,17,7.0,5,1.0,12,10.0
100,20,8.0,5,-1.0,14,12.0
125,25,9.0,5,-1.0,17,16.0
150,30,12.0,5,1.0,21,18.0
200,40,10.0,5,1.0,25,30.0
250,50,4.0,5,-1.0,27,46.0
300,60,2.0,5,-1.0,31,58.0
350,70,2.0,5,1.0,36,68.0
400,80,8.0,5,1.0,44,72.0
450,90,10.0,5,1.0,50,80.0
500,100,14.0,5,1.0,57,86.0
600,120,16.0,5,-1.0,68,104.0
700,140,18.0,5,1.0,79,122.0
850,170,24.0,5,1.0,97,146.0
1000,200,36.0,5,1.0,118,164.0
1250,250,18.0,5,1.0,134,232.0
1500,300,30.0,5,1.0,165,270.0
2000,400,42.0,5,-1.0,221,358.0
2500,500,42.0,5,-1.0,271,458.0
3000,600,32.0,5,1.0,316,568.0
3500,700,32.0,5,-1.0,366,668.0
4000,800,22.0,5,-1.0,411,778.0
4500,900,20.0,5,-1.0,460,880.0
5000,1000,12.0,5,1.0,506,988.0
6000,1200,10.0,5,1.0,605,1190.0
7000,1400,12.0,5,1.0,706,1388.0
8500,1700,-2.0,5,-1.0,849,1702.0
10000,2000,-16.0,5,-1.0,992,2016.0
12500,2500,-32.0,5,-1.0,1234,2532.0
15000,3000,-20.0,5,1.0,1490,3020.0
20000,4000,-64.0,5,-1.0,1968,4064.0
25000,5000,-106.0,5,1.0,2447,5106.0
30000,6000,-128.0,5,1.0,2936,6128.0
35000,7000,-186.0,5,1.0,3407,7186.0
40000,8000,-162.0,5,-1.0,3919,8162.0
45000,9000,-174.0,5,1.0,4413,9174.0
50000,10000,-160.0,5,-1.0,4920,10160.0
