steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-2.0,20,-2.0,2.0
40,2,-10.0,20,-8.0,4.0
60,3,-12.0,20,-2.0,6.0
80,4,-16.0,20,-4.0,6.0
100,5,-14.0,20,2.0,8.0
120,6,-18.0,20,-4.0,8.0
140,7,-24.0,20,-6.0,10.0
160,8,-20.0,20,4.0,10.0
180,9,-16.0,20,4.0,10.0
200,10,-18.0,20,-2.0,12.0
240,12,-18.0,20,4.0,14.0
280,14,-26.0,20,-6.0,18.0
340,17,-22.0,20,0.0,22.0
400,20,-34.0,20,-2.0,26.0
500,25,-40.0,20,2.0,32.0
600,30,-44.0,20,2.0,36.0
800,40,-30.0,20,-4.0,44.0
1000,50,-32.0,20,-2.0,54.0
1200,60,-32.0,20,2.0,58.0
1400,70,-12.0,20,-2.0,74.0
1600,80,-14.0,20,0.0,84.0
1800,90,-12.0,20,2.0,94.0
2000,100,14.0,20,8.0,104.0
2400,120,26.0,20,0.0,120.0
2800,140,42.0,20,4.0,134.0
3400,170,52.0,20,4.0,160.0
4000,200,10.0,20,-8.0,198.0
5000,250,50.0,20,4.0,244.0
6000,300,44.0,20,0.0,290.0
8000,400,108.0,20,2.0,384.0
10000,500,88.0,20,-2.0,478.0
12000,600,116.0,20,4.0,584.0
14000,700,146.0,20,4.0,684.0
16000,800,186.0,20,4.0,798.0
18000,900,170.0,20,-4.0,896.0
20000,1000,176.0,20,-6.0,994.0
24000,1200,80.0,20,2.0,1202.0
28000,1400,118.0,20,-2.0,1412.0
34000,1700,250.0,20,0.0,1686.0
40000,2000,182.0,20,0.0,2010.0
50000,2500,262.0,20,2.0,2480.0
60000,3000,-16.0,20,-2.0,2970.0
80000,4000,-108.0,20,4.0,3958.0
100000,5000,114.0,20,12.0,4992.0
120000,6000,62.0,20,0.0,6034.0
140000,7000,94.0,20,2.0,7014.0
160000,8000,-62.0,20,0.0,8072.0
180000,9000,34.0,20,2.0,9124.0
200000,10000,-188.0,20,-2.0,10120.0
