steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
38,1,0.5285597170167621,38,0.5285597170167621,1,0
76,2,0.5222439275430776,38,-0.006315789473684207,2,0
114,3,0.5169807696483405,38,-0.005263157894736839,3,0
152,4,0.8955281421356687,38,0.3785473724873283,4,0
190,5,0.8905281421356684,38,-0.0049999999999999975,5,0
228,6,0.8850018263461945,38,-0.005526315789473681,6,0
266,7,0.8800018263461943,38,-0.0049999999999999975,7,0
304,8,0.8728965631882992,38,-0.0071052631578947326,8,0
342,9,0.8671070895040884,38,-0.005789473684210523,9,0
380,10,0.8621070895040882,38,-0.0049999999999999975,10,0
456,12,0.8513176158198772,38,-0.005789473684210523,12,0
532,14,-0.20585287595098833,38,-1.5941779463830066,14,0
646,17,-0.2203265601615153,38,-0.005263157894736839,16,0
760,20,-0.23453708647730542,38,-0.005263157894736839,19,0
950,25,-0.2574318233194117,38,-0.005263157894736839,24,0
1140,30,-0.2832212970036234,38,-0.005263157894736839,29,0
1520,40,1.0730559334365104,38,1.402856177808557,39,0
1900,50,0.27393746068314634,38,-0.004473684210526314,49,0
2280,60,0.22393746068314407,38,-0.004473684210526314,59,0
2660,70,-1.2864010430010901,38,-0.005526315789473681,69,0
3040,80,-0.4086710634434213,38,-0.003684210526315788,79,0
3420,90,0.79500021847971,38,-0.005263157894736839,89,0
3800,100,-1.0948738532824573,38,-0.004210526315789472,99,0
4560,120,-0.6100041944866623,38,-0.0049999999999999975,118,0
5320,140,1.1179022658342546,38,-0.0049999999999999975,138,0
6460,170,2.255836970485825,38,-0.003684210526315788,167,0
7600,200,3.2337658531156674,38,-1.3467120321402113,196,0
9500,250,-0.07769035714583583,38,-0.004473684210526314,246,0
11400,300,1.0651436902966978,38,-0.0049999999999999975,295,0
15200,400,0.4450234892867234,38,-0.004210526315789472,392,0
19000,500,5.30803443789206,38,-0.006315789473684207,491,0
22800,600,1.6382246440711077,38,-0.003421052631578946,589,0
26600,700,-2.271609574852108,38,-0.005263157894736839,687,0
30400,800,-5.369100089440413,38,-0.004473684210526314,787,0
34200,900,-7.369166529335681,38,-0.0049999999999999975,883,0
38000,1000,-3.596231087179828,38,-0.004736842105263156,977,0
45600,1200,-7.25059508680776,38,0.9336502663412377,1173,0
53200,1400,-16.23937414378224,38,-0.003684210526315788,1368,0
64600,1700,-16.768087133019186,38,-0.005526315789473681,1656,0
76000,2000,-23.269111540298105,38,-0.005789473684210523,1948,0
95000,2500,-36.00062244695022,38,-0.005789473684210523,2434,0
114000,3000,-35.8515757358193,38,0.19688248224933524,2930,0
152000,4000,-41.89834184671735,38,-0.005263157894736839,3899,0
190000,5000,-41.76269352475791,38,-0.006578947368421049,4871,0
228000,6000,-57.30918197372782,38,-1.3139490413184456,5849,0
266000,7000,-82.05474708666587,38,-0.006578947368421049,6827,0
304000,8000,-88.81114641830905,38,-0.003421052631578946,7799,0
342000,9000,-84.55293024488081,38,-1.1805219157642417,8772,0
380000,10000,-109.6260067931654,38,-0.19664827806418453,9745,0
