steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1004.1433704229066,1000,-1004.1433704229066,-1000.0
2000,2,-2001.396720285082,1000,-997.2533498621747,-2000.0
3000,3,-3027.8737781528034,1000,-1026.4770578677217,-3000.0
4000,4,-4091.893097654345,1000,-1064.0193195015324,-4000.0
5000,5,-5165.123534400422,1000,-1073.2304367460843,-5000.0
6000,6,-6176.400685788453,1000,-1011.2771513880376,-6000.0
7000,7,-7167.337510763438,1000,-990.9368249749818,-7000.0
8000,8,-8246.2546112936,1000,-1078.9171005301787,-8000.0
9000,9,-9223.39711326795,1000,-977.1425019743526,-9000.0
10000,10,-10230.807647550375,1000,-1007.4105342824365,-10000.0
12000,12,-12267.129691363689,1000,-1017.3400811561885,-12000.0
14000,14,-14317.446386317168,1000,-1028.1336966832002,-14000.0
17000,17,-17282.913640476105,1000,-940.2349774371099,-17000.0
20000,20,-20319.185730298243,1000,-1009.9727121733475,-20000.0
25000,25,-25308.456675007554,1000,-998.3405969724049,-25000.0
30000,30,-30255.998461590596,1000,-978.5149989681156,-30000.0
40000,40,-40176.393201156534,1000,-984.1884233307006,-40000.0
50000,50,-50173.194348602265,1000,-1022.5211926747393,-50000.0
60000,60,-60077.999009937055,1000,-1046.0850660435945,-60000.0
70000,70,-70167.6193496697,1000,-1044.6944569635982,-70000.0
80000,80,-80004.56888340905,1000,-967.182579725307,-80000.0
90000,90,-89925.85236360847,1000,-995.2689066286256,-90000.0
100000,100,-99857.08810349106,1000,-998.5153609642465,-100000.0
120000,120,-119782.0766592969,1000,-953.0585421675149,-120000.0
140000,140,-139617.49780819815,1000,-983.9491883697613,-140000.0
170000,170,-169738.9877337028,1000,-1010.526678317552,-170000.0
200000,200,-199987.4992118182,1000,-1028.1825305393381,-200000.0
250000,250,-250363.8829201863,1000,-921.9588896235266,-250000.0
300000,300,-299912.4825887475,1000,-971.1300533763816,-300000.0
400000,400,-400162.7197597952,1000,-975.760741383235,-400000.0
500000,500,-500301.2460441998,1000,-984.2665550912767,-500000.0
600000,600,-600270.4485389071,1000,-1004.1995040576014,-600000.0
700000,700,-700676.614644229,1000,-1041.8302303725889,-700000.0
800000,800,-801159.2999227372,1000,-996.2289410878725,-800000.0
900000,900,-901584.066593539,1000,-983.8461366193566,-900000.0
1000000,1000,-1001067.4296738557,1000,-1021.6907384221788,-1000000.0
