steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-2.0,3,1.0,3,10.0
27,9,-3.0,3,-1.0,3,12.0
30,10,-4.0,3,-1.0,3,14.0
36,12,-4.0,3,1.0,4,16.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-7.0,3,-1.0,5,24.0
60,20,-8.0,3,1.0,6,28.0
75,25,-9.0,3,1.0,8,34.0
90,30,-10.0,3,1.0,10,40.0
120,40,-10.0,3,-1.0,15,50.0
150,50,-14.0,3,-1.0,18,64.0
180,60,-16.0,3,-1.0,22,76.0
210,70,-18.0,3,1.0,26,88.0
240,80,-16.0,3,-1.0,32,96.0
270,90,-18.0,3,1.0,36,108.0
300,100,-18.0,3,1.0,41,118.0
360,120,-20.0,3,-1.0,50,140.0
420,140,-16.0,3,1.0,62,156.0
510,170,-12.0,3,1.0,79,182.0
600,200,-14.0,3,-1.0,93,214.0
750,250,-20.0,3,-1.0,115,270.0
900,300,-30.0,3,1.0,135,330.0
1200,400,-44.0,3,-1.0,178,444.0
1500,500,-62.0,3,1.0,219,562.0
1800,600,-74.0,3,1.0,263,674.0
2100,700,-64.0,3,-1.0,318,764.0
2400,800,-50.0,3,1.0,375,850.0
2700,900,-42.0,3,-1.0,429,942.0
3000,1000,-32.0,3,1.0,484,1032.0
3600,1200,-30.0,3,-1.0,585,1230.0
4200,1400,-38.0,3,1.0,681,1438.0
5100,1700,-68.0,3,-1.0,816,1768.0
6000,2000,-62.0,3,-1.0,969,2062.0
7500,2500,-72.0,3,1.0,1214,2572.0
9000,3000,-52.0,3,-1.0,1474,3052.0
12000,4000,8.0,3,-1.0,2004,3992.0
15000,5000,-26.0,3,1.0,2487,5026.0
18000,6000,-30.0,3,-1.0,2985,6030.0
21000,7000,-48.0,3,1.0,3476,7048.0
24000,8000,-118.0,3,1.0,3941,8118.0
27000,9000,-114.0,3,1.0,4443,9114.0
30000,10000,-164.0,3,1.0,4918,10164.0
