steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-963.9636028439887,1000,-963.9636028439887,-1000.0
2000,2,-1763.7751886917642,1000,-799.8115858477781,-2000.0
3000,3,-2543.0211653724177,1000,-779.2459766806522,-3000.0
4000,4,-3671.1438529813527,1000,-1128.122687608932,-4000.0
5000,5,-4413.139229838807,1000,-741.9953768574454,-5000.0
6000,6,-5564.100676761058,1000,-1150.9614469222531,-6000.0
7000,7,-6921.212960382851,1000,-1357.1122836217867,-7000.0
8000,8,-8095.07962707707,1000,-1173.8666666942236,-8000.0
9000,9,-9449.100928644773,1000,-1354.0213015677098,-9000.0
10000,10,-9740.665067057113,1000,-291.56413841234667,-10000.0
12000,12,-12021.671450921951,1000,-1004.4342544021126,-12000.0
14000,14,-14060.387904089108,1000,-964.8198179047079,-14000.0
17000,17,-17342.720308431377,1000,-787.4157664827836,-17000.0
20000,20,-21011.953992883224,1000,-993.6861774823336,-20000.0
25000,25,-26260.45669807774,1000,-1211.9556790737265,-25000.0
30000,30,-31197.364607803305,1000,-612.5074110790518,-30000.0
40000,40,-40286.09522686715,1000,-8.92456714040981,-40000.0
50000,50,-50954.86835778043,1000,-1092.7796973319134,-50000.0
60000,60,-59992.44565853157,1000,-643.9716420616479,-60000.0
70000,70,-68752.10675276075,1000,-1247.376944317347,-70000.0
80000,80,-78443.50983110888,1000,-964.7830392573441,-80000.0
90000,90,-89744.56045819556,1000,-799.7076594031993,-90000.0
100000,100,-98682.5851589484,1000,-1335.5246636459067,-100000.0
120000,120,-118545.18644608647,1000,-890.473555312639,-120000.0
140000,140,-138933.4303802697,1000,-997.635499080289,-140000.0
170000,170,-168716.68175064656,1000,-1338.0940815860558,-170000.0
200000,200,-196559.7409647456,1000,-1058.1458594976748,-200000.0
250000,250,-244933.764344513,1000,-1467.3267741256561,-250000.0
300000,300,-296360.3746616991,1000,-848.5110478709297,-300000.0
400000,400,-395332.9484710247,1000,-1370.2106910046234,-400000.0
500000,500,-489212.03264164575,1000,-871.5177134448044,-500000.0
600000,600,-593153.8228643906,1000,-1089.9507832080167,-600000.0
700000,700,-698913.9181153349,1000,-1481.8516862020656,-700000.0
799912,800,-796152.7094889649,1000,-1277.6137834894953,-799912.0
899912,900,-896675.1809677446,1000,-1075.109169348202,-899912.0
999912,1000,-991022.3462922355,1000,-801.8711112326969,-999912.0
