steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
16,1,-0.005,16,-0.005,1,0
32,2,-0.010625,16,-0.005625,2,0
48,3,-0.016250000000000004,16,-0.005625,3,0
64,4,-0.02187500000000001,16,-0.005625,4,0
80,5,-0.025625000000000012,16,-0.0037500000000000003,5,0
96,6,-0.030625000000000017,16,-0.005,6,0
112,7,-0.03812500000000002,16,-0.007499999999999999,7,0
128,8,-0.04562500000000003,16,-0.007499999999999999,8,0
144,9,-0.04875000000000003,16,-0.003125,9,0
160,10,-0.056250000000000036,16,-0.007499999999999999,10,0
192,12,-0.06750000000000005,16,-0.005625,12,0
224,14,-0.07750000000000005,16,-0.005,14,0
272,17,-0.09062500000000007,16,-0.0037500000000000003,17,0
320,20,-0.10812500000000008,16,-0.005,20,0
400,25,-0.13062499999999996,16,-0.0062499999999999995,25,0
480,30,-0.15937499999999935,16,-0.0062499999999999995,30,0
640,40,-0.20499999999999838,16,-0.0037500000000000003,40,0
800,50,-0.2612499999999972,16,-0.006874999999999999,50,0
960,60,-0.3093749999999962,16,-0.007499999999999999,60,0
1120,70,-0.3612499999999951,16,-0.003125,70,0
1280,80,-0.411874999999994,16,-0.0037500000000000003,80,0
1440,90,-0.46124999999999294,16,-0.004375,90,0
1600,100,-0.5149999999999918,16,-0.0062499999999999995,100,0
1920,120,-0.6174999999999896,16,-0.0037500000000000003,120,0
2240,140,-0.7118749999999876,16,-0.005,140,0
2720,170,-0.8587499999999845,16,-0.005625,170,0
3200,200,-0.9931249999999816,16,-0.005625,200,0
4000,250,-1.2506250000000205,16,-0.006874999999999999,250,0
4800,300,-1.5050000000000603,16,-0.0062499999999999995,300,0
6400,400,-1.996250000000137,16,-0.005,400,0
8000,500,-2.4837500000000414,16,-0.0062499999999999995,500,0
9600,600,-2.9799999999999427,16,-0.003125,600,0
11200,700,-3.4887499999998415,16,-0.005,700,0
12800,800,-3.988749999999742,16,-0.0062499999999999995,800,0
14400,900,-4.498749999999995,16,-0.0025,900,0
16000,1000,-5.009375000000256,16,-0.0037500000000000003,1000,0
19200,1200,-6.01437500000077,16,-0.0037500000000000003,1200,0
22400,1400,-7.032500000001291,16,-0.0062499999999999995,1400,0
27200,1700,-8.541875000001292,16,-0.0037500000000000003,1700,0
32000,2000,-10.06124999999991,16,-0.004375,2000,0
40000,2500,-12.59124999999761,16,-0.005,2500,0
48000,3000,-15.039374999995383,16,-0.006874999999999999,3000,0
64000,4000,-19.967499999990903,16,-0.007499999999999999,4000,0
80000,5000,-25.03812499998629,16,-0.004375,5000,0
96000,6000,-30.071874999981713,16,-0.003125,6000,0
112000,7000,-34.97312499997726,16,-0.0062499999999999995,7000,0
128000,8000,-39.99437499997269,16,-0.005625,8000,0
144000,9000,-45.060624999968084,16,-0.006874999999999999,9000,0
160000,10000,-50.018124999963575,16,-0.004375,10000,0
