steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
42,1,-0.005,42,-0.005,1,0
84,2,-0.01047619047619048,42,-0.005476190476190476,2,0
126,3,-0.014761904761904775,42,-0.004285714285714287,3,0
168,4,-0.01880952380952383,42,-0.004047619047619049,4,0
210,5,-0.023809523809523843,42,-0.005,5,0
252,6,-0.02976190476190481,42,-0.005952380952380951,6,0
294,7,-0.03452380952380958,42,-0.004761904761904762,7,0
336,8,-0.039047619047619116,42,-0.0045238095238095246,8,0
378,9,-0.04309523809523817,42,-0.004047619047619049,9,0
420,10,-0.04904761904761914,42,-0.005952380952380951,10,0
504,12,-0.05809523809523821,42,-0.004047619047619049,12,0
588,14,-0.06714285714285714,42,-0.004047619047619049,14,0
714,17,-0.08380952380952336,42,-0.005952380952380951,17,0
840,20,-0.09857142857142773,42,-0.005476190476190476,20,0
1050,25,0.2557614680396578,42,-0.005476190476190476,25,0
1260,30,0.23004718232537213,42,-0.004761904761904762,30,0
1680,40,0.17957099184918301,42,-0.005476190476190476,39,0
2100,50,0.12552337280156542,42,-0.005,49,0
2520,60,1.9774415845083229,42,-0.005238095238095238,58,0
2940,70,2.8463694576064,42,-0.08693101574264762,68,0
3360,80,2.7105531087583015,42,-0.005,77,0
3780,90,1.554082668880068,42,-0.004761904761904762,87,0
4200,100,1.68036001106361,42,1.108156223416325,97,0
5040,120,3.3785123630086216,42,-0.004285714285714287,116,0
5880,140,1.6270590461599745,42,-0.005238095238095238,136,0
7140,170,2.9708652307727252,42,-0.0045238095238095246,166,0
8400,200,2.931365603583274,42,-0.005476190476190476,196,0
10500,250,2.6605412799028736,42,-0.004761904761904762,245,0
12600,300,0.9205304401982631,42,-0.004761904761904762,295,0
16800,400,1.2048246390627657,42,-0.005,394,0
21000,500,-0.3471265216157423,42,-0.005476190476190476,492,0
25200,600,-0.531807928483518,42,-0.0045238095238095246,590,0
29400,700,0.5443993342436726,42,-0.006904761904761902,687,0
33600,800,1.5002808668733776,42,-0.005,784,0
37800,900,7.338241293000165,42,-0.005476190476190476,882,0
42000,1000,7.712950220123703,42,-0.005,981,0
50400,1200,-4.0115816269359925,42,0.6175700532532635,1174,0
58800,1400,-10.176755195821343,42,-0.005238095238095238,1369,0
71400,1700,-20.326028582085275,42,-0.006190476190476189,1660,0
84000,2000,-15.446717692024132,42,-0.005238095238095238,1951,0
105000,2500,-5.127745592616136,42,-0.0045238095238095246,2439,0
126000,3000,-2.7669913979680425,42,-0.0045238095238095246,2931,0
168000,4000,10.268308066245744,42,-0.005,3892,0
210000,5000,4.51565208523224,42,-0.40985394268541553,4862,0
252000,6000,-21.17119750046518,42,-0.005,5839,0
294000,7000,-32.01311987751808,42,0.6677724466406149,6814,0
336000,8000,-48.2041993149049,42,-0.005238095238095238,7787,0
378000,9000,-46.40346279007,42,-0.0045238095238095246,8761,0
420000,10000,-55.85422539718649,42,-0.005,9728,0
