steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1064.6541716387492,1000,-1064.6541716387492,-1000.0
2000,2,-1946.6631918501603,1000,-882.00902021141,-2000.0
3000,3,-2912.490312520649,1000,-965.8271206704823,-3000.0
4000,4,-3966.6898980234637,1000,-1054.1995855028038,-4000.0
5000,5,-5203.644003131082,1000,-1236.9541051076208,-5000.0
6000,6,-6276.367623233699,1000,-1072.7236201026183,-6000.0
7000,7,-7375.966791196704,1000,-1099.599167962999,-7000.0
8000,8,-8505.33535528625,1000,-1129.3685640895403,-8000.0
9000,9,-9196.391837061128,1000,-691.0564817748786,-9000.0
10000,10,-10308.417184531725,1000,-1112.025347470593,-10000.0
12000,12,-12209.169349611613,1000,-901.63465300795,-12000.0
14000,14,-14223.135321628615,1000,-926.5424786977414,-14000.0
17000,17,-17336.061226234815,1000,-1026.377848731784,-17000.0
20000,20,-20557.17706325264,1000,-1151.1403211483132,-20000.0
25000,25,-25637.230082310103,1000,-1141.5330591823638,-25000.0
30000,30,-30385.336362209717,1000,-878.5010704264088,-30000.0
40000,40,-40571.76172107238,1000,-1208.9868962504893,-40000.0
50000,50,-50146.04328390897,1000,-1052.809698400267,-50000.0
60000,60,-59973.47751861769,1000,-954.3145920539617,-60000.0
70000,70,-70765.58368670152,1000,-967.2970579215424,-70000.0
80000,80,-80583.00202948581,1000,-1126.2428165031722,-80000.0
90000,90,-90387.82530715769,1000,-1018.7710713895071,-90000.0
100000,100,-99973.48015207385,1000,-1057.6217257897763,-100000.0
120000,120,-120664.79231577074,1000,-835.5680811589685,-120000.0
140000,140,-140836.96116351182,1000,-1071.6398848049414,-140000.0
170000,170,-171089.37219954803,1000,-1001.191855924717,-170000.0
200000,200,-200747.39504028225,1000,-1082.7726008215432,-200000.0
250000,250,-250653.87933370017,1000,-928.0690080572082,-250000.0
300000,300,-299142.1362373821,1000,-1130.4346916232505,-300000.0
400000,400,-398145.03801047936,1000,-951.4545174541199,-400000.0
500000,500,-498934.27206843544,1000,-1038.8877263696356,-500000.0
600000,600,-600163.6131699623,1000,-1010.8077579305331,-600000.0
700000,700,-700609.0899137206,1000,-956.2794123946288,-700000.0
800000,800,-800665.8519234586,1000,-932.001514704453,-800000.0
900000,900,-900538.8766911052,1000,-1059.9524567259416,-900000.0
1000000,1000,-1000804.9182338992,1000,-1181.6859317241745,-1000000.0
