steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
10,1,1.0,10,1.0,1,0.0
20,2,0.0,10,-1.0,1,2.0
30,3,1.0,10,1.0,2,2.0
40,4,0.0,10,-1.0,2,4.0
50,5,1.0,10,1.0,3,4.0
60,6,0.0,10,-1.0,3,6.0
70,7,-1.0,10,-1.0,3,8.0
80,8,-2.0,10,-1.0,3,10.0
90,9,-3.0,10,-1.0,3,12.0
100,10,-4.0,10,-1.0,3,14.0
120,12,-6.0,10,-1.0,3,18.0
140,14,-6.0,10,1.0,4,20.0
170,17,-5.0,10,-1.0,6,22.0
200,20,-6.0,10,-1.0,7,26.0
250,25,-7.0,10,-1.0,9,32.0
300,30,-8.0,10,-1.0,11,38.0
400,40,-10.0,10,1.0,15,50.0
500,50,-6.0,10,1.0,22,56.0
600,60,-8.0,10,1.0,26,68.0
700,70,-6.0,10,1.0,32,76.0
800,80,-8.0,10,-1.0,36,88.0
900,90,-14.0,10,-1.0,38,104.0
1000,100,-14.0,10,-1.0,43,114.0
1200,120,-12.0,10,-1.0,54,132.0
1400,140,-18.0,10,-1.0,61,158.0
1700,170,-20.0,10,-1.0,75,190.0
2000,200,-26.0,10,-1.0,87,226.0
2500,250,-22.0,10,-1.0,114,272.0
3000,300,-18.0,10,-1.0,141,318.0
4000,400,-14.0,10,-1.0,193,414.0
5000,500,-18.0,10,-1.0,241,518.0
6000,600,4.0,10,1.0,302,596.0
7000,700,-2.0,10,1.0,349,702.0
8000,800,10.0,10,1.0,405,790.0
9000,900,0.0,10,-1.0,450,900.0
10000,1000,-22.0,10,-1.0,489,1022.0
12000,1200,-14.0,10,1.0,593,1214.0
14000,1400,-34.0,10,1.0,683,1434.0
17000,1700,-38.0,10,-1.0,831,1738.0
20000,2000,-36.0,10,1.0,982,2036.0
25000,2500,-36.0,10,-1.0,1232,2536.0
30000,3000,-20.0,10,1.0,1490,3020.0
40000,4000,-78.0,10,-1.0,1961,4078.0
50000,5000,-82.0,10,1.0,2459,5082.0
60000,6000,-100.0,10,-1.0,2950,6100.0
70000,7000,-144.0,10,1.0,3428,7144.0
80000,8000,-136.0,10,1.0,3932,8136.0
90000,9000,-182.0,10,-1.0,4409,9182.0
100000,10000,-116.0,10,-1.0,4942,10116.0
