steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
13,1,1.0,13,1.0,1,0.0
26,2,2.0,13,1.0,2,0.0
39,3,1.0,13,-1.0,2,2.0
52,4,0.0,13,-1.0,2,4.0
65,5,1.0,13,1.0,3,4.0
78,6,2.0,13,1.0,4,4.0
91,7,3.0,13,1.0,5,4.0
104,8,4.0,13,1.0,6,4.0
117,9,3.0,13,-1.0,6,6.0
130,10,2.0,13,-1.0,6,8.0
156,12,4.0,13,1.0,8,8.0
182,14,2.0,13,-1.0,8,12.0
221,17,3.0,13,1.0,10,14.0
260,20,4.0,13,1.0,12,16.0
325,25,5.0,13,1.0,15,20.0
390,30,4.0,13,1.0,17,26.0
520,40,6.0,13,-1.0,23,34.0
650,50,6.0,13,-1.0,28,44.0
780,60,4.0,13,-1.0,32,56.0
910,70,4.0,13,1.0,37,66.0
1040,80,8.0,13,1.0,44,72.0
1170,90,4.0,13,-1.0,47,86.0
1300,100,4.0,13,-1.0,52,96.0
1560,120,0.0,13,-1.0,60,120.0
1820,140,-2.0,13,1.0,69,142.0
2210,170,-8.0,13,-1.0,81,178.0
2600,200,-8.0,13,1.0,96,208.0
3250,250,-14.0,13,-1.0,118,264.0
3900,300,-14.0,13,-1.0,143,314.0
5200,400,8.0,13,1.0,204,392.0
6500,500,-4.0,13,1.0,248,504.0
7800,600,-4.0,13,-1.0,298,604.0
9100,700,-2.0,13,-1.0,349,702.0
10400,800,6.0,13,1.0,403,794.0
11700,900,8.0,13,-1.0,454,892.0
13000,1000,4.0,13,-1.0,502,996.0
15600,1200,-2.0,13,1.0,599,1202.0
18200,1400,-6.0,13,-1.0,697,1406.0
22100,1700,-6.0,13,1.0,847,1706.0
26000,2000,0.0,13,1.0,1000,2000.0
32500,2500,34.0,13,1.0,1267,2466.0
39000,3000,22.0,13,-1.0,1511,2978.0
52000,4000,52.0,13,1.0,2026,3948.0
65000,5000,48.0,13,1.0,2524,4952.0
78000,6000,88.0,13,1.0,3044,5912.0
91000,7000,110.0,13,-1.0,3555,6890.0
104000,8000,130.0,13,-1.0,4065,7870.0
117000,9000,142.0,13,-1.0,4571,8858.0
130000,10000,98.0,13,1.0,5049,9902.0
