steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
60,1,59000.0,60,59000.0,59.0,59.0
138,2,136000.0,78,77000.0,136.0,77.0
203,3,200000.0,65,64000.0,200.0,77.0
294,4,290000.0,91,90000.0,290.0,90.0
388,5,383000.0,94,93000.0,383.0,93.0
505,6,499000.0,117,116000.0,499.0,116.0
612,7,605000.0,107,106000.0,605.0,116.0
680,8,672000.0,68,67000.0,672.0,116.0
745,9,736000.0,65,64000.0,736.0,116.0
889,10,879000.0,144,143000.0,879.0,143.0
1031,12,1019000.0,88,87000.0,1019.0,143.0
1183,14,1169000.0,49,48000.0,1169.0,143.0
1384,17,1367000.0,56,55000.0,1367.0,143.0
1589,20,1569000.0,69,68000.0,1569.0,143.0
2042,25,2017000.0,109,108000.0,2017.0,143.0
2419,30,2389000.0,151,150000.0,2389.0,150.0
3199,40,3159000.0,77,76000.0,3159.0,150.0
3872,50,3822000.0,62,61000.0,3822.0,150.0
4764,60,4704000.0,72,71000.0,4704.0,150.0
5692,70,5622000.0,99,98000.0,5622.0,155.0
6426,80,6346000.0,54,53000.0,6346.0,193.0
7183,90,7093000.0,65,64000.0,7093.0,193.0
8159,100,8059000.0,129,128000.0,8059.0,193.0
9835,120,9715000.0,113,112000.0,9715.0,193.0
11379,140,11239000.0,61,60000.0,11239.0,193.0
13856,170,13686000.0,123,122000.0,13686.0,193.0
16238,200,16038000.0,92,91000.0,16038.0,193.0
20111,250,19861000.0,61,60000.0,19861.0,193.0
23766,300,23466000.0,49,48000.0,23466.0,193.0
31807,400,31407000.0,77,76000.0,31407.0,212.0
40738,500,40238000.0,82,81000.0,40238.0,224.0
48848,600,48248000.0,102,101000.0,48248.0,224.0
57273,700,56573000.0,84,83000.0,56573.0,224.0
65358,800,64558000.0,49,48000.0,64558.0,224.0
73093,900,72193000.0,76,75000.0,72193.0,228.0
81078,1000,80078000.0,90,89000.0,80078.0,228.0
