steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
58,1,57.0,58,57.0,57.0,57.0
113,2,111.0,55,54.0,111.0,57.0
199,3,196.0,86,85.0,196.0,85.0
272,4,268.0,73,72.0,268.0,85.0
340,5,335.0,68,67.0,335.0,85.0
430,6,424.0,90,89.0,424.0,89.0
501,7,494.0,71,70.0,494.0,89.0
585,8,577.0,84,83.0,577.0,89.0
695,9,686.0,110,109.0,686.0,109.0
753,10,743.0,58,57.0,743.0,109.0
893,12,881.0,77,76.0,881.0,109.0
1045,14,1031.0,106,105.0,1031.0,109.0
1251,17,1234.0,53,52.0,1234.0,109.0
1559,20,1539.0,70,69.0,1539.0,176.0
1920,25,1895.0,65,64.0,1895.0,176.0
2361,30,2331.0,93,92.0,2331.0,176.0
3132,40,3092.0,64,63.0,3092.0,176.0
3744,50,3694.0,97,96.0,3694.0,176.0
4530,60,4470.0,68,67.0,4470.0,176.0
5293,70,5223.0,62,61.0,5223.0,176.0
6164,80,6084.0,67,66.0,6084.0,197.0
7022,90,6932.0,93,92.0,6932.0,197.0
7957,100,7857.0,111,110.0,7857.0,197.0
9485,120,9365.0,49,48.0,9365.0,197.0
11215,140,11075.0,97,96.0,11075.0,197.0
13751,170,13581.0,122,121.0,13581.0,197.0
16182,200,15982.0,86,85.0,15982.0,197.0
20064,250,19814.0,59,58.0,19814.0,197.0
24410,300,24110.0,70,69.0,24110.0,197.0
32981,400,32581.0,148,147.0,32581.0,224.0
41311,500,40811.0,70,69.0,40811.0,224.0
49503,600,48903.0,49,48.0,48903.0,224.0
57800,700,57100.0,115,114.0,57100.0,251.0
65741,800,64941.0,79,78.0,64941.0,251.0
73758,900,72858.0,91,90.0,72858.0,251.0
81554,1000,80554.0,68,67.0,80554.0,251.0
