steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
73,1,72.0,73,72.0,72.0,72.0
179,2,177.0,106,105.0,177.0,105.0
242,3,239.0,63,62.0,239.0,105.0
314,4,310.0,72,71.0,310.0,105.0
392,5,387.0,78,77.0,387.0,105.0
457,6,451.0,65,64.0,451.0,105.0
532,7,525.0,75,74.0,525.0,105.0
645,8,637.0,113,112.0,637.0,112.0
698,9,689.0,53,52.0,689.0,112.0
763,10,753.0,65,64.0,753.0,112.0
950,12,938.0,59,58.0,938.0,127.0
1114,14,1100.0,72,71.0,1100.0,127.0
1345,17,1328.0,105,104.0,1328.0,127.0
1571,20,1551.0,113,112.0,1551.0,127.0
1986,25,1961.0,57,56.0,1961.0,137.0
2342,30,2312.0,75,74.0,2312.0,137.0
3151,40,3111.0,72,71.0,3111.0,154.0
3932,50,3882.0,59,58.0,3882.0,182.0
4846,60,4786.0,68,67.0,4786.0,182.0
5605,70,5535.0,90,89.0,5535.0,182.0
6400,80,6320.0,68,67.0,6320.0,182.0
7341,90,7251.0,125,124.0,7251.0,182.0
8054,100,7954.0,47,46.0,7954.0,182.0
9554,120,9434.0,94,93.0,9434.0,182.0
10992,140,10852.0,97,96.0,10852.0,182.0
13156,170,12986.0,77,76.0,12986.0,182.0
15370,200,15170.0,71,70.0,15170.0,182.0
19776,250,19526.0,70,69.0,19526.0,182.0
23329,300,23029.0,67,66.0,23029.0,182.0
31657,400,31257.0,65,64.0,31257.0,185.0
39691,500,39191.0,95,94.0,39191.0,215.0
48113,600,47513.0,63,62.0,47513.0,215.0
56378,700,55678.0,100,99.0,55678.0,215.0
64502,800,63702.0,76,75.0,63702.0,215.0
72606,900,71706.0,126,125.0,71706.0,215.0
80459,1000,79459.0,47,46.0,79459.0,215.0
