steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
22,1,-0.005454545454545455,22,-0.005454545454545455,1,0
44,2,-0.010454545454545454,22,-0.005,2,0
66,3,-0.015909090909090904,22,-0.005454545454545455,3,0
88,4,-0.022727272727272714,22,-0.00681818181818182,4,0
110,5,-0.026363636363636346,22,-0.003636363636363636,5,0
132,6,-0.45323082375475954,22,-0.42686718739112317,6,0
154,7,-0.45823082375475926,22,-0.005,7,0
176,8,-0.8894210137493157,22,-0.4311901899945567,8,0
198,9,-0.895330104658407,22,-0.00590909090909091,9,0
220,10,-1.723144615440411,22,-0.827814510782004,10,0
264,12,-3.5533922772677977,22,-1.8243385709182949,11,0
308,14,-3.032664230621795,22,0.525728046646003,12,0
374,17,-0.3150734418192075,22,-0.005,15,0
440,20,-0.33007344181920667,22,-0.005,18,0
550,25,1.1778071563845638,22,-0.00590909090909091,23,0
660,30,1.1541707927481986,22,-0.00590909090909091,28,0
880,40,-0.1957555907042527,22,-0.11812516076552634,38,0
1100,50,-0.007336733575154299,22,-0.005454545454545455,48,0
1320,60,-2.586559112680137,22,-0.005454545454545455,56,0
1540,70,-2.887249167336649,22,-0.00590909090909091,66,0
1760,80,-2.9408855309730164,22,-0.00681818181818182,76,0
1980,90,-0.6442803902383907,22,-0.002727272727272727,85,0
2200,100,-3.219948571235584,22,-0.00409090909090909,90,0
2640,120,-5.793372356775073,22,-0.006363636363636365,110,0
3080,140,-4.811925779962908,22,1.5012178743257691,130,0
3740,170,-6.8795279745709825,22,-0.005,155,0
4400,200,-7.043587076062983,22,-0.005,183,0
5500,250,-10.6356816339524,22,-0.00409090909090909,232,0
6600,300,-11.281769847848734,22,-0.005,279,0
8800,400,-14.725235667742094,22,-0.006363636363636365,375,0
11000,500,-18.62972938503451,22,-0.00590909090909091,471,0
13200,600,-6.382337080111405,22,1.0765527191661168,568,0
15400,700,-3.4770044081876357,22,-0.005454545454545455,666,0
17600,800,-5.34780004108565,22,-0.005,764,0
19800,900,-10.465714108392094,22,-0.0031818181818181815,861,0
22000,1000,-15.475860122333927,22,-0.9596659717551562,952,0
26400,1200,-20.14268309714904,22,-0.005454545454545455,1139,0
30800,1400,-26.840665174085867,22,-0.003636363636363636,1330,0
37400,1700,-29.796659311596095,22,0.17774086164225084,1613,0
44000,2000,-38.000206555515206,22,-0.8605395789050695,1903,0
55000,2500,-29.10457566112139,22,-0.00681818181818182,2386,0
66000,3000,-42.228640980764226,22,-0.006363636363636365,2868,0
88000,4000,-14.736703850793795,22,-0.00681818181818182,3820,0
110000,5000,-13.479294902307709,22,-0.00590909090909091,4779,0
132000,6000,-13.62288802163034,22,-0.005454545454545455,5736,0
154000,7000,-3.698123085703251,22,-0.00409090909090909,6685,0
176000,8000,-30.02331739814333,22,-0.006363636363636365,7634,0
198000,9000,-23.594957594470962,22,-0.6929392023734465,8591,0
220000,10000,-27.791452211445257,22,-0.004545454545454545,9550,0
