steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.8002479503114446,1,-0.8002479503114446,2.0
2,2,-2.1978121341586423,1,-1.3975641838471977,4.0
3,3,-2.8960773889512397,1,-0.6982652547925974,6.0
4,4,-3.8810974513954024,1,-0.9850200624441628,8.0
5,5,-4.936125743535933,1,-1.0550282921405305,10.0
6,6,-5.978307779147777,1,-1.0421820356118439,12.0
7,7,-6.446899315471557,1,-0.4685915363237805,14.0
8,8,-7.484707013061229,1,-1.037807697589672,16.0
9,9,-8.057396720520359,1,-0.5726897074591295,18.0
10,10,-8.952750156904056,1,-0.8953534363836964,20.0
12,12,-10.799833258167252,1,-0.8469705763204394,24.0
14,14,-12.583143041598529,1,-0.8973971412223991,28.0
17,17,-16.420404668545316,1,-0.9671192701134225,34.0
20,20,-19.902825651660855,1,-1.3290616845420993,40.0
25,25,-23.111081621779825,1,-0.6320465597320081,48.0
30,30,-28.570021195732437,1,-0.9644472436785002,58.0
40,40,-39.48924183327622,1,-0.8895384491848751,78.0
50,50,-46.568538228026796,1,-0.6775581638353205,96.0
60,60,-56.02434742271221,1,-0.7020008379628718,114.0
70,70,-64.6066230775587,1,-0.9915574037653474,132.0
80,80,-71.70185182796574,1,-1.3106899624298098,148.0
90,90,-76.43574958457522,1,-1.38127761704196,162.0
100,100,-85.89177880097806,1,-1.0382696544979721,182.0
120,120,-100.00266461250912,1,-1.0556231806044831,214.0
140,140,-114.741968895007,1,-1.167686688461762,248.0
170,170,-140.4820569084307,1,1.2706627609726673,304.0
200,200,-167.4756606616207,1,-1.0822910722567078,360.0
250,250,-206.21718334233967,1,-1.5985905997087073,450.0
300,300,-247.8476821440477,1,-1.0045531344937504,540.0
400,400,-322.31032333071033,1,-1.4053363634576175,714.0
500,500,-408.50319383380446,1,-0.5346648707190557,900.0
600,600,-490.82923779625827,1,-0.6242476358798243,1084.0
700,700,-569.4251980939974,1,-0.9738405168031432,1264.0
800,800,-652.2232182992528,1,-1.4566314488507202,1444.0
900,900,-731.3335077856539,1,-1.5157981821344966,1622.0
1000,1000,-808.7551359800486,1,-1.587213753279503,1800.0
1200,1200,-959.1468419923339,1,-0.538788957388405,2152.0
1400,1400,-1126.8442314408553,1,-1.267198249956313,2518.0
1700,1700,-1366.2992322947123,1,-0.7216230492024454,3056.0
2000,2000,-1601.6021138371664,1,-1.0743773687920717,3592.0
2500,2500,-1989.4811455030201,1,-0.7532007647463399,4488.0
3000,3000,-2378.008789272325,1,0.8010332501992747,5374.0
4000,4000,-3204.9239991302593,1,-0.733331979633072,7190.0
5000,5000,-4000.982552624823,1,-0.7120201772930501,8988.0
6000,6000,-4805.951589479557,1,-0.8200895085025233,10794.0
7000,7000,-5609.687136425093,1,-0.9401284455701343,12610.0
8000,8000,-6400.639138680635,1,-0.6672732099395058,14414.0
9000,9000,-7180.770378626703,1,-0.9487545856673286,16198.0
10000,10000,-7977.323061969529,1,-1.8157167862122456,17980.0
