steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
62,1,0.06100000000000005,62,0.06100000000000005,61.0,61.0
169,2,0.16700000000000012,107,0.10600000000000008,167.0,106.0
252,3,0.2490000000000002,83,0.08200000000000006,249.0,106.0
310,4,0.3060000000000002,58,0.057000000000000044,306.0,106.0
378,5,0.3730000000000003,68,0.06700000000000005,373.0,106.0
450,6,0.44400000000000034,72,0.07100000000000005,444.0,106.0
549,7,0.5420000000000004,99,0.09800000000000007,542.0,106.0
606,8,0.5980000000000004,57,0.05600000000000004,598.0,106.0
691,9,0.6820000000000005,85,0.08400000000000006,682.0,106.0
754,10,0.7440000000000005,63,0.06200000000000005,744.0,106.0
904,12,0.8920000000000007,57,0.05600000000000004,892.0,106.0
1066,14,1.051999999999995,94,0.09300000000000007,1052.0,106.0
1299,17,1.2819999999999696,55,0.05400000000000004,1282.0,106.0
1528,20,1.5079999999999447,67,0.06600000000000004,1508.0,106.0
1925,25,1.8999999999999015,73,0.07200000000000005,1900.0,106.0
2274,30,2.243999999999864,67,0.06600000000000004,2244.0,106.0
3017,40,2.976999999999783,61,0.060000000000000046,2977.0,114.0
3817,50,3.766999999999696,101,0.10000000000000007,3767.0,134.0
4615,60,4.554999999999856,76,0.07500000000000005,4555.0,134.0
5521,70,5.451000000000155,108,0.10700000000000008,5451.0,236.0
6416,80,6.336000000000451,87,0.08600000000000006,6336.0,236.0
7162,90,7.072000000000696,59,0.058000000000000045,7072.0,236.0
8021,100,7.92100000000098,79,0.07800000000000006,7921.0,236.0
9663,120,9.54300000000015,50,0.04900000000000004,9543.0,236.0
11211,140,11.070999999999303,101,0.10000000000000007,11071.0,236.0
13834,170,13.663999999997866,91,0.09000000000000007,13664.0,236.0
16163,200,15.962999999996592,58,0.057000000000000044,15963.0,236.0
20114,250,19.864000000001294,75,0.07400000000000005,19864.0,236.0
24111,300,23.811000000006118,82,0.08100000000000006,23811.0,236.0
32460,400,32.06000000001598,109,0.10800000000000008,32060.0,236.0
40278,500,39.777999999997995,82,0.08100000000000006,39778.0,236.0
48138,600,47.53799999997991,54,0.05300000000000004,47538.0,236.0
56044,700,55.34399999996172,76,0.07500000000000005,55344.0,236.0
63750,800,62.94999999994399,115,0.11400000000000009,62950.0,236.0
71347,900,70.44699999997232,58,0.057000000000000044,70447.0,236.0
79192,1000,78.1920000000093,63,0.06200000000000005,78192.0,236.0
