steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,2.0,1,1.0,0.0
3,3,2.7,1,0.7000000000000001,0.29999999999999993
4,4,3.7,1,1.0,0.29999999999999993
5,5,4.5,1,0.8,0.4999999999999999
6,6,5.3,1,0.8,0.6999999999999998
7,7,6.0,1,0.7000000000000001,0.9999999999999998
8,8,6.5,1,0.5,1.4999999999999998
9,9,7.1,1,0.6000000000000001,1.8999999999999997
10,10,7.699999999999999,1,0.6000000000000001,2.3
12,12,8.5,1,0.8,3.5
14,14,8.7,1,0.1,5.300000000000001
17,17,10.100000000000001,1,0.8,6.900000000000001
20,20,12.600000000000001,1,1.0,7.400000000000001
25,25,16.1,1,1.0,8.900000000000002
30,30,19.3,1,0.30000000000000004,10.7
40,40,24.9,1,1.0,15.099999999999998
50,50,28.500000000000004,1,0.0,21.499999999999993
60,60,35.5,1,1.0,24.499999999999996
70,70,39.300000000000004,1,0.7000000000000001,30.699999999999996
80,80,44.99999999999999,1,0.30000000000000004,35.00000000000001
90,90,51.59999999999999,1,0.9,38.40000000000001
100,100,57.899999999999984,1,0.5,42.100000000000016
120,120,67.69999999999999,1,0.4,52.30000000000001
140,140,77.69999999999997,1,0.0,62.300000000000004
170,170,94.89999999999998,1,0.7000000000000001,75.10000000000001
200,200,107.39999999999993,1,0.6000000000000001,92.60000000000005
250,250,129.09999999999994,1,0.4,120.90000000000003
300,300,152.6999999999999,1,1.0,147.3000000000001
400,400,201.39999999999992,1,0.8,198.60000000000008
500,500,252.99999999999983,1,1.0,247.00000000000017
600,600,303.09999999999985,1,0.2,296.90000000000015
700,700,355.69999999999976,1,0.8,344.30000000000024
800,800,405.0999999999997,1,0.9,394.9000000000003
900,900,457.3999999999994,1,0.6000000000000001,442.6000000000006
1000,1000,505.59999999999945,1,0.6000000000000001,494.40000000000055
1200,1200,595.8999999999993,1,0.30000000000000004,604.1000000000006
1400,1400,693.6999999999997,1,0.5,706.3000000000002
1700,1700,847.9999999999998,1,0.5,852.0000000000001
2000,2000,995.499999999999,1,0.1,1004.5000000000009
2500,2500,1246.6,1,0.4,1253.4000000000005
3000,3000,1499.399999999998,1,0.7000000000000001,1500.6000000000024
4000,4000,2003.4999999999968,1,0.6000000000000001,1996.5000000000036
5000,5000,2488.9999999999955,1,0.30000000000000004,2511.0000000000055
6000,6000,2990.9000000000024,1,0.2,3009.0999999999985
7000,7000,3476.4,1,1.0,3523.600000000001
8000,8000,3982.899999999998,1,0.4,4017.100000000003
9000,9000,4468.299999999998,1,0.1,4531.700000000001
10000,10000,4962.099999999996,1,0.1,5037.900000000003
