steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
11,1,1.0,11,1.0,1,0.0
22,2,2.0,11,1.0,2,0.0
33,3,3.0,11,1.0,3,0.0
44,4,2.0,11,-1.0,3,2.0
55,5,1.0,11,-1.0,3,4.0
66,6,0.0,11,-1.0,3,6.0
77,7,1.0,11,1.0,4,6.0
88,8,0.0,11,-1.0,4,8.0
99,9,1.0,11,1.0,5,8.0
110,10,0.0,11,-1.0,5,10.0
132,12,-2.0,11,-1.0,5,14.0
154,14,0.0,11,1.0,7,14.0
187,17,1.0,11,1.0,9,16.0
220,20,2.0,11,-1.0,11,18.0
275,25,3.0,11,1.0,14,22.0
330,30,2.0,11,1.0,16,28.0
440,40,2.0,11,-1.0,21,38.0
550,50,2.0,11,-1.0,26,48.0
660,60,0.0,11,1.0,30,60.0
770,70,2.0,11,1.0,36,68.0
880,80,4.0,11,1.0,42,76.0
990,90,8.0,11,-1.0,49,82.0
1100,100,8.0,11,-1.0,54,92.0
1320,120,6.0,11,1.0,63,114.0
1540,140,16.0,11,-1.0,78,124.0
1870,170,6.0,11,-1.0,88,164.0
2200,200,10.0,11,1.0,105,190.0
2750,250,16.0,11,-1.0,133,234.0
3300,300,16.0,11,-1.0,158,284.0
4400,400,22.0,11,1.0,211,378.0
5500,500,18.0,11,-1.0,259,482.0
6600,600,28.0,11,1.0,314,572.0
7700,700,30.0,11,-1.0,365,670.0
8800,800,14.0,11,-1.0,407,786.0
9900,900,6.0,11,1.0,453,894.0
11000,1000,0.0,11,1.0,500,1000.0
13200,1200,10.0,11,-1.0,605,1190.0
15400,1400,-4.0,11,-1.0,698,1404.0
18700,1700,-12.0,11,-1.0,844,1712.0
22000,2000,-40.0,11,-1.0,980,2040.0
27500,2500,-36.0,11,1.0,1232,2536.0
33000,3000,-38.0,11,-1.0,1481,3038.0
44000,4000,-96.0,11,-1.0,1952,4096.0
55000,5000,-134.0,11,-1.0,2433,5134.0
66000,6000,-164.0,11,-1.0,2918,6164.0
77000,7000,-160.0,11,-1.0,3420,7160.0
88000,8000,-152.0,11,1.0,3924,8152.0
99000,9000,-168.0,11,1.0,4416,9168.0
110000,10000,-188.0,11,1.0,4906,10188.0
