steps,episode,total_return,episode_len,episode_return,total_regret
25,1,-1.0,25,-1.0,2.0
50,2,-6.0,25,-5.0,4.0
75,3,-7.0,25,-1.0,6.0
100,4,-14.0,25,-7.0,8.0
125,5,-13.0,25,1.0,10.0
150,6,-14.0,25,-1.0,12.0
175,7,-19.0,25,-5.0,14.0
200,8,-22.0,25,-3.0,16.0
225,9,-27.0,25,-5.0,18.0
250,10,-36.0,25,-9.0,18.0
300,12,-34.0,25,5.0,18.0
350,14,-34.0,25,-3.0,20.0
425,17,-35.0,25,-1.0,24.0
500,20,-24.0,25,3.0,24.0
625,25,-11.0,25,9.0,26.0
750,30,-16.0,25,-1.0,32.0
1000,40,-4.0,25,5.0,42.0
1250,50,8.0,25,-1.0,52.0
1500,60,-8.0,25,-3.0,60.0
1750,70,-22.0,25,-5.0,74.0
2000,80,-26.0,25,1.0,86.0
2250,90,-6.0,25,5.0,90.0
2500,100,0.0,25,9.0,104.0
3000,120,-18.0,25,-5.0,130.0
3500,140,-16.0,25,-5.0,144.0
4250,170,-12.0,25,1.0,168.0
5000,200,-6.0,25,1.0,202.0
6250,250,-16.0,25,-9.0,258.0
7500,300,2.0,25,-3.0,310.0
10000,400,-44.0,25,-1.0,416.0
12500,500,-64.0,25,1.0,512.0
15000,600,-102.0,25,-5.0,624.0
17500,700,-126.0,25,11.0,722.0
20000,800,-152.0,25,-1.0,824.0
22500,900,-80.0,25,1.0,918.0
25000,1000,-88.0,25,5.0,1020.0
30000,1200,-144.0,25,-3.0,1214.0
35000,1400,-152.0,25,-7.0,1428.0
42500,1700,-142.0,25,7.0,1724.0
50000,2000,-112.0,25,-3.0,2044.0
62500,2500,-152.0,25,-1.0,2550.0
75000,3000,-88.0,25,3.0,3018.0
100000,4000,-258.0,25,-1.0,4070.0
125000,5000,-300.0,25,1.0,5062.0
150000,6000,-504.0,25,3.0,6032.0
175000,7000,-466.0,25,-5.0,7054.0
200000,8000,-580.0,25,5.0,8096.0
225000,9000,-350.0,25,3.0,9030.0
250000,10000,-442.0,25,9.0,9998.0
