steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1003.6053975846092,1000,-1003.6053975846092,-1000.0
2000,2,-2008.9225292090302,1000,-1005.3171316244228,-2000.0
3000,3,-2997.035175116036,1000,-988.1126459070166,-3000.0
4000,4,-3989.981449129156,1000,-992.9462740131232,-4000.0
5000,5,-4984.070411534021,1000,-994.0889624048564,-5000.0
6000,6,-5982.238128402777,1000,-998.1677168687528,-6000.0
7000,7,-6976.58901312206,1000,-994.3508847192843,-7000.0
8000,8,-7987.682352334203,1000,-1011.0933392121264,-8000.0
9000,9,-8976.096817391573,1000,-988.4144650573702,-9000.0
10000,10,-9976.958811162976,1000,-1000.8619937713917,-10000.0
12000,12,-11982.478586599047,1000,-996.4753463681783,-12000.0
14000,14,-13979.874905677401,1000,-987.4750486583964,-14000.0
17000,17,-16978.536430088556,1000,-1002.2283608781054,-17000.0
20000,20,-19970.429068894886,1000,-995.7880807158076,-20000.0
25000,25,-24966.77056427457,1000,-990.8661197001022,-25000.0
30000,30,-29950.38204295097,1000,-981.72584324369,-30000.0
40000,40,-39978.43342454904,1000,-997.9288259527228,-40000.0
50000,50,-49976.089607186645,1000,-995.565692327426,-50000.0
60000,60,-60000.91931387197,1000,-995.0273032890607,-60000.0
70000,70,-69963.30205268225,1000,-1002.255847405972,-70000.0
80000,80,-79962.6490482861,1000,-996.3182983628066,-80000.0
90000,90,-89989.29844138522,1000,-1002.6926437587227,-90000.0
100000,100,-100049.52500152841,1000,-1012.0589614871874,-100000.0
120000,120,-120054.77433438382,1000,-985.5423751854923,-120000.0
140000,140,-140127.76716043023,1000,-1010.3940976741047,-140000.0
170000,170,-170026.15229188258,1000,-1000.3803271996505,-170000.0
200000,200,-199959.08692080603,1000,-996.0125221276938,-200000.0
250000,250,-249961.36713855027,1000,-997.0465745650044,-250000.0
300000,300,-299962.3669632821,1000,-1001.4686439346145,-300000.0
400000,400,-399905.6638216851,1000,-991.1117975732185,-400000.0
500000,500,-499927.36662267445,1000,-994.96583620091,-500000.0
600000,600,-600056.0350984479,1000,-995.3556578330589,-600000.0
700000,700,-700035.5454857139,1000,-1010.4626180113935,-700000.0
800000,800,-800052.3261130045,1000,-995.4336409084968,-800000.0
900000,900,-900219.3104658611,1000,-1010.1518322455612,-900000.0
1000000,1000,-1000151.8970528644,1000,-1008.036620650923,-1000000.0
