steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
28,1,-0.004285714285714286,28,-0.004285714285714286,1,0
56,2,-0.008928571428571432,28,-0.004642857142857143,2,0
84,3,-0.014642857142857159,28,-0.005714285714285714,3,0
112,4,-0.019285714285714312,28,-0.004642857142857143,4,0
140,5,-0.022142857142857176,28,-0.002857142857142857,5,0
168,6,-0.027500000000000045,28,-0.005357142857142857,6,0
196,7,-0.0328571428571429,28,-0.005357142857142857,7,0
224,8,-0.037500000000000006,28,-0.004642857142857143,8,0
252,9,-0.04285714285714282,28,-0.005357142857142857,9,0
280,10,-0.048571428571428495,28,-0.005714285714285714,10,0
336,12,-0.059642857142856984,28,-0.004642857142857143,12,0
392,14,-0.07035714285714277,28,-0.005,14,0
476,17,-0.08464285714285723,28,-0.005357142857142857,17,0
560,20,-0.09892857142857168,28,-0.004642857142857143,20,0
700,25,-0.12142857142857195,28,-0.005,25,0
840,30,-0.14535714285714366,28,-0.004642857142857143,30,0
1120,40,-0.19107142857142992,28,-0.005357142857142857,40,0
1400,50,-0.2339285714285733,28,-0.0035714285714285713,50,0
1680,60,-0.2853571428571426,28,-0.005,60,0
1960,70,-0.33785714285713914,28,-0.005,70,0
2240,80,-0.3907142857142785,28,-0.004642857142857143,80,0
2520,90,-0.4403571428571324,28,-0.0035714285714285713,90,0
2800,100,-0.48642857142855794,28,-0.0032142857142857142,100,0
3360,120,-0.5896428571428369,28,-0.005357142857142857,120,0
3920,140,-0.6896428571428304,28,-0.004642857142857143,140,0
4760,170,-0.8374999999999635,28,-0.0064285714285714285,170,0
5600,200,-0.9949999999999531,28,-0.005,200,0
7000,250,-1.2482142857142993,28,-0.004285714285714286,250,0
8400,300,-1.5046428571429336,28,-0.0025,300,0
11200,400,-1.9953571428573396,28,-0.005357142857142857,400,0
14000,500,-2.4767857142857324,28,-0.004285714285714286,500,0
16800,600,-2.967857142856976,28,-0.003928571428571429,600,0
19600,700,-3.451785714285365,28,-0.006071428571428571,700,0
22400,800,-3.9546428571423187,28,-0.002857142857142857,800,0
25200,900,-4.455714285714125,28,-0.004642857142857143,900,0
28000,1000,-4.957857142857417,28,-0.004285714285714286,1000,0
33600,1200,-5.9525000000011365,28,-0.0064285714285714285,1200,0
39200,1400,-6.93857142857342,28,-0.005357142857142857,1400,0
47600,1700,-8.436071428573634,28,-0.003928571428571429,1700,0
56000,2000,-9.93249999999978,28,-0.003928571428571429,2000,0
70000,2500,-12.415357142852901,28,-0.004285714285714286,2500,0
84000,3000,-14.916071428563136,28,-0.003928571428571429,3000,0
112000,4000,-19.881428571431538,28,-0.005,4000,0
140000,5000,-24.921071428591297,28,-0.005357142857142857,5000,0
168000,6000,-29.941428571465277,28,-0.005357142857142857,6000,0
196000,7000,-34.91000000002442,28,-0.005714285714285714,7000,0
224000,8000,-39.93964285713411,28,-0.005357142857142857,8000,0
252000,9000,-44.8942857142443,28,-0.006071428571428571,9000,0
280000,10000,-49.89607142849703,28,-0.006071428571428571,10000,0
