steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.1,100,1.1
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.1,100,1.0
1700,17,17.1,100,1.0
2000,20,20.1,100,1.0
2500,25,25.200000000000003,100,1.1
3000,30,30.200000000000003,100,1.0
4000,40,40.60000000000001,100,1.1
5000,50,50.70000000000001,100,1.0
6000,60,60.80000000000001,100,1.0
7000,70,70.9,100,1.1
8000,80,81.1,100,1.1
9000,90,91.19999999999999,100,1.0
10000,100,101.29999999999998,100,1.0
12000,120,122.09999999999994,100,1.1
14000,140,142.39999999999992,100,1.0
17000,170,173.09999999999988,100,1.0
20000,200,203.49999999999986,100,1.0
25000,250,253.99999999999983,100,1.0
30000,300,304.8,100,1.0
40000,400,407.0000000000005,100,1.0
50000,500,508.3000000000008,100,1.0
60000,600,610.1000000000013,100,1.0
70000,700,712.2000000000018,100,1.0
80000,800,814.0000000000022,100,1.0
90000,900,916.2000000000027,100,1.1
100000,1000,1017.500000000003,100,1.0
