steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
48,1,-0.005208333333333331,48,-0.005208333333333331,1,0
96,2,-0.011041666666666655,48,-0.00583333333333333,2,0
144,3,-0.015416666666666646,48,-0.0043749999999999995,3,0
192,4,-0.019583333333333338,48,-0.004166666666666667,4,0
240,5,-0.023541666666666697,48,-0.003958333333333334,5,0
288,6,-0.029166666666666733,48,-0.005624999999999997,6,0
336,7,-0.03500000000000004,48,-0.00583333333333333,7,0
384,8,-0.04041666666666665,48,-0.005416666666666664,8,0
432,9,-0.04520833333333327,48,-0.004791666666666665,9,0
480,10,-0.050208333333333216,48,-0.004999999999999998,10,0
576,12,-0.060624999999999776,48,-0.004999999999999998,12,0
672,14,-0.07020833333333326,48,-0.005208333333333331,14,0
816,17,-0.08833333333333368,48,-0.005208333333333331,17,0
960,20,-0.10166666666666732,48,-0.0043749999999999995,20,0
1200,25,-0.1250000000000012,48,-0.004166666666666667,25,0
1440,30,-0.14979166666666843,48,-0.00583333333333333,30,0
1920,40,-0.203750000000003,48,-0.005624999999999997,40,0
2400,50,-0.2529166666666704,48,-0.005624999999999997,50,0
2880,60,-0.3014583333333317,48,-0.006249999999999996,60,0
3360,70,-0.34999999999999304,48,-0.004999999999999998,70,0
3840,80,-0.40020833333332084,48,-0.004791666666666665,80,0
4320,90,-0.44874999999998216,48,-0.005624999999999997,90,0
4800,100,-0.4960416666666436,48,-0.0043749999999999995,100,0
5760,120,-0.5966666666666582,48,-0.004999999999999998,120,0
6720,140,-0.7016666666666747,48,-0.005208333333333331,140,0
8160,170,-0.8495833333333644,48,-0.0037500000000000003,170,0
9600,200,-1.002500000000055,48,-0.004166666666666667,200,0
12000,250,-1.2485416666667601,48,-0.004999999999999998,250,0
14400,300,-1.4920833333334649,48,-0.005208333333333331,300,0
19200,400,-1.9902083333335427,48,-0.0033333333333333335,400,0
24000,500,-2.486666666666435,48,-0.005416666666666664,500,0
28800,600,-2.986458333332647,48,-0.004791666666666665,600,0
33600,700,-3.4893749999988564,48,-0.0045833333333333325,700,0
38400,800,-3.992916666665065,48,-0.006458333333333329,800,0
43200,900,-4.482083333331287,48,-0.003541666666666667,900,0
48000,1000,-4.978124999997503,48,-0.003541666666666667,1000,0
57600,1200,-5.96666666666327,48,-0.0037500000000000003,1200,0
67200,1400,-6.966666666662361,48,-0.006249999999999996,1400,0
81600,1700,-8.478749999994319,48,-0.0043749999999999995,1700,0
96000,2000,-9.984166666659616,48,-0.004999999999999998,2000,0
120000,2500,-12.496458333323998,48,-0.0045833333333333325,2500,0
144000,3000,-15.01937499998837,48,-0.006458333333333329,3000,0
192000,4000,-19.995416666650513,48,-0.005208333333333331,4000,0
240000,5000,-25.017708333312612,48,-0.005208333333333331,5000,0
288000,6000,-30.001874999974746,48,-0.004999999999999998,6000,0
336000,7000,-34.98083333330355,48,-0.004791666666666665,7000,0
384000,8000,-39.94416666663237,48,-0.004166666666666667,8000,0
432000,9000,-44.92499999996117,48,-0.006041666666666663,9000,0
480000,10000,-49.91083333328997,48,-0.004791666666666665,10000,0
