steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-823.0447620892688,1000,-823.0447620892688,-1000.0
2000,2,-1936.9484072844252,1000,-1113.9036451951574,-2000.0
3000,3,-3114.244707990466,1000,-1177.2963007060405,-3000.0
4000,4,-4073.6230883773133,1000,-959.3783803868483,-4000.0
5000,5,-5450.44064501066,1000,-1376.8175566333584,-5000.0
6000,6,-6181.089128549405,1000,-730.6484835387513,-6000.0
7000,7,-7131.020896484432,1000,-949.9317679350365,-7000.0
8000,8,-8160.724708546805,1000,-1029.703812062371,-8000.0
9000,9,-9233.605363795108,1000,-1072.88065524831,-9000.0
10000,10,-9868.822350505343,1000,-635.2169867102109,-10000.0
12000,12,-12863.026281603617,1000,-1435.9361819186117,-12000.0
14000,14,-14456.01421372936,1000,-876.8922344673213,-14000.0
17000,17,-16949.697789246726,1000,-1150.8435561357035,-17000.0
20000,20,-19631.128084228756,1000,-851.9036067663228,-20000.0
25000,25,-25078.932682122522,1000,-634.4570662590176,-25000.0
30000,30,-30230.076467378356,1000,-1218.459843864542,-30000.0
40000,40,-39910.896009208955,1000,-893.1454385096259,-40000.0
50000,50,-51643.47947766535,1000,-1186.9841011718386,-50000.0
60000,60,-60357.31282881646,1000,-982.0477185032867,-60000.0
70000,70,-70885.91110819102,1000,-1189.403215732304,-70000.0
80000,80,-80131.95055271374,1000,-662.7244407462061,-80000.0
90000,90,-91331.27440395176,1000,-1007.5056526232593,-90000.0
100000,100,-101415.4463809401,1000,-1074.0655959701724,-100000.0
120000,120,-118721.55659638402,1000,-735.5368366849452,-120000.0
140000,140,-137350.34672847352,1000,-993.1535740085284,-140000.0
170000,170,-167239.59003059292,1000,-819.3713054319919,-170000.0
200000,200,-195130.06016107375,1000,-620.3212756469967,-200000.0
250000,250,-246870.93037789292,1000,-468.3938891393721,-250000.0
300000,300,-296625.51244107645,1000,-980.0025910432224,-300000.0
400000,400,-394924.23709355877,1000,-484.8961028217662,-400000.0
500000,500,-494934.5828945079,1000,-759.9692968417804,-500000.0
600000,600,-594663.4056261556,1000,-766.9461328142197,-600000.0
699949,700,-693203.2948199975,1000,-1350.003520319371,-699949.0
799949,800,-789989.4538699978,1000,-1000.1914385811143,-799949.0
899949,900,-890025.7091399308,1000,-529.0783041013522,-899949.0
999949,1000,-985235.2373125077,1000,-1411.5545611506386,-999949.0
