steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-988.7657807991267,1000,-988.7657807991267,-1000.0
2000,2,-1972.9225095437828,1000,-984.1567287446601,-2000.0
3000,3,-2978.070956551068,1000,-1005.1484470072886,-3000.0
4000,4,-3983.0744756019794,1000,-1005.0035190509186,-4000.0
5000,5,-4972.317451992583,1000,-989.2429763906104,-5000.0
6000,6,-5966.809606659724,1000,-994.4921546671474,-6000.0
7000,7,-6966.577604969452,1000,-999.7679983097166,-7000.0
8000,8,-7957.071008402605,1000,-990.4934034331388,-8000.0
9000,9,-8953.040902731542,1000,-995.9698943289611,-9000.0
10000,10,-9954.424225508417,1000,-1001.3833227768441,-10000.0
12000,12,-11967.33509899067,1000,-1000.7341249462097,-12000.0
14000,14,-13952.95449902422,1000,-996.5607986650897,-14000.0
17000,17,-16953.188263273365,1000,-995.9933041708877,-17000.0
20000,20,-19938.97212999036,1000,-980.2694303333042,-20000.0
25000,25,-24964.431771941167,1000,-991.4729701514879,-25000.0
30000,30,-29979.743471024158,1000,-992.8779700012718,-30000.0
40000,40,-39965.69624945763,1000,-1000.2109813328984,-40000.0
50000,50,-49987.89501926574,1000,-1016.9416573618114,-50000.0
60000,60,-59968.06310612097,1000,-991.9021359558595,-60000.0
70000,70,-69940.78242881992,1000,-987.7871716057499,-70000.0
80000,80,-79954.02590098433,1000,-1005.0191394314337,-80000.0
90000,90,-89934.29111581229,1000,-996.8521754578366,-90000.0
100000,100,-99945.06898662928,1000,-993.8353459742511,-100000.0
120000,120,-119908.96960622263,1000,-1004.9832307945259,-120000.0
140000,140,-139903.89948893528,1000,-1008.5261836561488,-140000.0
170000,170,-169905.78204928714,1000,-994.9069312300261,-170000.0
200000,200,-199815.23833151252,1000,-1002.591293274635,-200000.0
250000,250,-249712.12106567455,1000,-966.1244754195795,-250000.0
300000,300,-299624.39272454364,1000,-978.4130957644333,-300000.0
400000,400,-399715.43820123747,1000,-991.992416227296,-400000.0
500000,500,-499808.57467860135,1000,-987.7960437089295,-500000.0
600000,600,-599939.0337703371,1000,-998.0352841316327,-600000.0
700000,700,-699992.9539451823,1000,-993.9313518100403,-700000.0
799914,800,-800096.0761206457,1000,-1007.203426205173,-799914.0
899914,900,-900089.9858419314,1000,-995.7898298901132,-899914.0
999914,1000,-1000178.4221047466,1000,-1001.0714048053121,-999914.0
