steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,-1.0,3,-1.0,1,4.0
12,4,0.0,3,1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,-1.0,3,-1.0,3,8.0
24,8,0.0,3,1.0,4,8.0
27,9,1.0,3,1.0,5,8.0
30,10,2.0,3,1.0,6,8.0
36,12,2.0,3,1.0,7,10.0
42,14,4.0,3,1.0,9,10.0
51,17,3.0,3,-1.0,10,14.0
60,20,4.0,3,-1.0,12,16.0
75,25,3.0,3,1.0,14,22.0
90,30,2.0,3,-1.0,16,28.0
120,40,0.0,3,1.0,20,40.0
150,50,0.0,3,-1.0,25,50.0
180,60,-4.0,3,-1.0,28,64.0
210,70,-6.0,3,1.0,32,76.0
240,80,-6.0,3,-1.0,37,86.0
270,90,-4.0,3,-1.0,43,94.0
300,100,-8.0,3,1.0,46,108.0
360,120,-12.0,3,-1.0,54,132.0
420,140,-8.0,3,-1.0,66,148.0
510,170,-10.0,3,-1.0,80,180.0
600,200,-18.0,3,-1.0,91,218.0
750,250,-24.0,3,1.0,113,274.0
900,300,-30.0,3,1.0,135,330.0
1200,400,-20.0,3,1.0,190,420.0
1500,500,-16.0,3,-1.0,242,516.0
1800,600,-28.0,3,1.0,286,628.0
2100,700,-34.0,3,-1.0,333,734.0
2400,800,-42.0,3,-1.0,379,842.0
2700,900,-50.0,3,-1.0,425,950.0
3000,1000,-42.0,3,1.0,479,1042.0
3600,1200,-52.0,3,1.0,574,1252.0
4200,1400,-52.0,3,1.0,674,1452.0
5100,1700,-48.0,3,1.0,826,1748.0
6000,2000,-30.0,3,-1.0,985,2030.0
7500,2500,0.0,3,-1.0,1250,2500.0
9000,3000,4.0,3,1.0,1502,2996.0
12000,4000,4.0,3,-1.0,2002,3996.0
15000,5000,82.0,3,1.0,2541,4918.0
18000,6000,112.0,3,1.0,3056,5888.0
21000,7000,128.0,3,-1.0,3564,6872.0
24000,8000,78.0,3,-1.0,4039,7922.0
27000,9000,26.0,3,1.0,4513,8974.0
30000,10000,-42.0,3,1.0,4979,10042.0
