steps,episode,total_return,episode_len,episode_return,total_regret
30,1,-2.0,30,-2.0,0.0
60,2,-2.0,30,0.0,0.0
90,3,2.0,30,4.0,0.0
120,4,4.0,30,2.0,0.0
150,5,4.0,30,0.0,2.0
180,6,0.0,30,-4.0,2.0
210,7,-6.0,30,-6.0,4.0
240,8,-4.0,30,2.0,6.0
270,9,-8.0,30,-4.0,8.0
300,10,-10.0,30,-2.0,8.0
360,12,-8.0,30,6.0,12.0
420,14,-16.0,30,4.0,14.0
510,17,-4.0,30,8.0,18.0
600,20,4.0,30,4.0,24.0
750,25,6.0,30,-6.0,26.0
900,30,-6.0,30,-2.0,34.0
1200,40,0.0,30,-2.0,48.0
1500,50,14.0,30,0.0,54.0
1800,60,34.0,30,-4.0,68.0
2100,70,32.0,30,-2.0,80.0
2400,80,40.0,30,-4.0,92.0
2700,90,58.0,30,8.0,104.0
3000,100,42.0,30,-2.0,114.0
3600,120,34.0,30,-12.0,134.0
4200,140,86.0,30,0.0,154.0
5100,170,66.0,30,2.0,196.0
6000,200,92.0,30,-2.0,224.0
7500,250,148.0,30,10.0,272.0
9000,300,222.0,30,6.0,326.0
12000,400,240.0,30,16.0,426.0
15000,500,274.0,30,-2.0,520.0
18000,600,228.0,30,4.0,612.0
21000,700,170.0,30,-6.0,710.0
24000,800,44.0,30,8.0,816.0
27000,900,-6.0,30,-10.0,910.0
30000,1000,98.0,30,0.0,1000.0
36000,1200,102.0,30,0.0,1222.0
42000,1400,138.0,30,4.0,1428.0
51000,1700,96.0,30,-4.0,1738.0
60000,2000,-50.0,30,-2.0,2032.0
75000,2500,40.0,30,-4.0,2562.0
90000,3000,76.0,30,4.0,3044.0
120000,4000,198.0,30,-2.0,4068.0
150000,5000,22.0,30,0.0,5072.0
180000,6000,-138.0,30,0.0,6072.0
210000,7000,-112.0,30,-6.0,7088.0
240000,8000,-208.0,30,0.0,8082.0
270000,9000,110.0,30,0.0,9032.0
300000,10000,394.0,30,10.0,10000.0
