steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
8,1,-1.0,8,-1.0,0,2.0
16,2,-2.0,8,-1.0,0,4.0
24,3,-1.0,8,1.0,1,4.0
32,4,-2.0,8,-1.0,1,6.0
40,5,-1.0,8,1.0,2,6.0
48,6,0.0,8,1.0,3,6.0
56,7,1.0,8,1.0,4,6.0
64,8,2.0,8,1.0,5,6.0
72,9,3.0,8,1.0,6,6.0
80,10,2.0,8,-1.0,6,8.0
96,12,2.0,8,1.0,7,10.0
112,14,2.0,8,-1.0,8,12.0
136,17,1.0,8,-1.0,9,16.0
160,20,0.0,8,-1.0,10,20.0
200,25,-5.0,8,-1.0,10,30.0
240,30,-6.0,8,-1.0,12,36.0
320,40,-2.0,8,-1.0,19,42.0
400,50,-2.0,8,-1.0,24,52.0
480,60,-2.0,8,-1.0,29,62.0
560,70,-4.0,8,-1.0,33,74.0
640,80,-4.0,8,1.0,38,84.0
720,90,-2.0,8,1.0,44,92.0
800,100,0.0,8,1.0,50,100.0
960,120,6.0,8,1.0,63,114.0
1120,140,4.0,8,-1.0,72,136.0
1360,170,12.0,8,-1.0,91,158.0
1600,200,14.0,8,1.0,107,186.0
2000,250,26.0,8,-1.0,138,224.0
2400,300,32.0,8,1.0,166,268.0
3200,400,28.0,8,1.0,214,372.0
4000,500,18.0,8,-1.0,259,482.0
4800,600,26.0,8,1.0,313,574.0
5600,700,22.0,8,-1.0,361,678.0
6400,800,18.0,8,-1.0,409,782.0
7200,900,28.0,8,1.0,464,872.0
8000,1000,18.0,8,-1.0,509,982.0
9600,1200,42.0,8,1.0,621,1158.0
11200,1400,26.0,8,-1.0,713,1374.0
13600,1700,36.0,8,-1.0,868,1664.0
16000,2000,40.0,8,-1.0,1020,1960.0
20000,2500,24.0,8,1.0,1262,2476.0
24000,3000,10.0,8,1.0,1505,2990.0
32000,4000,30.0,8,-1.0,2015,3970.0
40000,5000,70.0,8,-1.0,2535,4930.0
48000,6000,94.0,8,-1.0,3047,5906.0
56000,7000,102.0,8,-1.0,3551,6898.0
64000,8000,90.0,8,-1.0,4045,7910.0
72000,9000,106.0,8,1.0,4553,8894.0
80000,10000,160.0,8,-1.0,5080,9840.0
