steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,2.0,3,-1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,2.0,3,-1.0,4,4.0
21,7,1.0,3,-1.0,4,6.0
24,8,2.0,3,1.0,5,6.0
27,9,3.0,3,1.0,6,6.0
30,10,2.0,3,-1.0,6,8.0
36,12,2.0,3,-1.0,7,10.0
42,14,2.0,3,1.0,8,12.0
51,17,1.0,3,-1.0,9,16.0
60,20,4.0,3,1.0,12,16.0
75,25,1.0,3,-1.0,13,24.0
90,30,0.0,3,1.0,15,30.0
120,40,-2.0,3,1.0,19,42.0
150,50,2.0,3,1.0,26,48.0
180,60,2.0,3,1.0,31,58.0
210,70,-2.0,3,-1.0,34,72.0
240,80,-6.0,3,-1.0,37,86.0
270,90,-4.0,3,1.0,43,94.0
300,100,2.0,3,-1.0,51,98.0
360,120,0.0,3,-1.0,60,120.0
420,140,-2.0,3,1.0,69,142.0
510,170,4.0,3,-1.0,87,166.0
600,200,-4.0,3,-1.0,98,204.0
750,250,-2.0,3,1.0,124,252.0
900,300,10.0,3,1.0,155,290.0
1200,400,-10.0,3,-1.0,195,410.0
1500,500,-10.0,3,-1.0,245,510.0
1800,600,-18.0,3,-1.0,291,618.0
2100,700,-34.0,3,-1.0,333,734.0
2400,800,-24.0,3,1.0,388,824.0
2700,900,-44.0,3,-1.0,428,944.0
3000,1000,-56.0,3,-1.0,472,1056.0
3600,1200,-32.0,3,1.0,584,1232.0
4200,1400,-30.0,3,-1.0,685,1430.0
5100,1700,-40.0,3,1.0,830,1740.0
6000,2000,-18.0,3,1.0,991,2018.0
7500,2500,-38.0,3,1.0,1231,2538.0
9000,3000,-14.0,3,-1.0,1493,3014.0
12000,4000,-82.0,3,1.0,1959,4082.0
15000,5000,-34.0,3,1.0,2483,5034.0
18000,6000,-80.0,3,1.0,2960,6080.0
21000,7000,-108.0,3,-1.0,3446,7108.0
24000,8000,-132.0,3,1.0,3934,8132.0
27000,9000,-100.0,3,1.0,4450,9100.0
30000,10000,-128.0,3,1.0,4936,10128.0
